Pregunta,Intencion,clean_txt
queria saber los puntos que tengo de las tarjetas,Cat_325,queria saber los puntos que tengo de las tarjetas
cuándo paga dividendos la empresa?,Cat_152,cuando paga dividendos la empresa
me gustaria saber si puedo solicitar de alguna forma sin ir a la sucursal que me envien el resumen,Cat_138,me gustaria saber si puedo solicitar de alguna forma sin ir a la sucursal que me envien el resumen
como saldo mi deuda,Cat_192,como saldo mi deuda
decime como hacer para poder pagar telefónicamente mi open credit,Cat_199,decime como hacer para poder pagar telefonicamente mi open credit
quisiera saber los beneficios de las tarjetas black,Cat_141,quisiera saber los beneficios de las tarjetas black
aciento que ya pague,Cat_195,aciento que ya pague
necesito cambiar el plastico,Cat_316,necesito cambiar el plastico
soy titular de una tarjeta visa platinum aadvantage y quisiera saber si entro en la promoción de los martes y viernes en peluqueria,Cat_311,soy titular de una tarjeta visa platinum aadvantage y quisiera saber si entro en la promocion de los martes y viernes en peluqueria
reesumen tarjeta,Cat_138,reesumen tarjeta
quiero aumentar mi paquete a black,Cat_40,quiero aumentar mi paquete a black
quiero que me lleguen las entradas que hice por el canje de puntos,Cat_326,quiero que me lleguen las entradas que hice por el canje de puntos
como ingreso al simulador?,Cat_251,como ingreso al simulador
como hago para continuar abonando las cuotas del préstamo hiotecario si cambio de banco?,Cat_239,como hago para continuar abonando las cuotas del prestamo hiotecario si cambio de banco
¿como cambio la clave de la tarjeta de débito?,Cat_288,como cambio la clave de la tarjeta de debito
quiero cambiar compañía de seguro,Cat_261,quiero cambiar compania de seguro
todavía no sé si se cobraron lo de la tarjeta de ccredito de mi cuenta,Cat_279,todavia no se si se cobraron lo de la tarjeta de ccredito de mi cuenta
quiero cobro sacar plata link,Cat_96,quiero cobro sacar plata link
como pago mi tarjeta de credito,Cat_342,como pago mi tarjeta de credito
envio superclub seguimiento,Cat_326,envio superclub seguimiento
llegar mail importar pagar tarjeta visa saldar,Cat_112,llegar mail importar pagar tarjeta visa saldar
necesito hacer una transferencia internacional por pago de servicios en el exterior,Cat_36,necesito hacer una transferencia internacional por pago de servicios en el exterior
necesito saber que disponible tengo para compras,Cat_303,necesito saber que disponible tengo para compras
quisiera saber cómo debo proceder para adherir el pago de un servicio,Cat_132,quisiera saber como debo proceder para adherir el pago de un servicio
quisiera ampliar mi descubierto,Cat_57,quisiera ampliar mi descubierto
puedo usar el adelanto en la tarjeta?,Cat_298,puedo usar el adelanto en la tarjeta
telefono contactar tarjeta,Cat_147,telefono contactar tarjeta
soy estudiante. puedo sacar prestamo,Cat_248,soy estudiante puedo sacar prestamo
cómo solicito una targeta,Cat_337,como solicito una targeta
deuda banco hice deposito llego telegrama banco,Cat_193,deuda banco hice deposito llego telegrama banco
un cheque rechazado. lo puede retirar cualquier persona?,Cat_47,un cheque rechazado lo puede retirar cualquier persona
tener extension poder pagar yo,Cat_342,tener extension poder pagar yo
quiero aumentar limitar extraccion,Cat_287,quiero aumentar limitar extraccion
comprar exterior tarjeta credito visa,Cat_289,comprar exterior tarjeta credito visa
comunicarme,Cat_147,comunicarme
tuve un problema en el cajero,Cat_297,tuve un problema en el cajero
caja de ahorro! q requisitos necesito?,Cat_39,caja de ahorro q requisitos necesito
quiero saber si tengo linea crediticia en este momento y si no. cuando yo a tener.,Cat_223,quiero saber si tengo linea crediticia en este momento y si no cuando yo a tener
quiero aumentar la cobertura del seguro de vida que tengo contratado.,Cat_268,quiero aumentar la cobertura del seguro de vida que tengo contratado
movimientos bancario,Cat_138,movimientos bancario
hice una denuncia por robo  pero nunca me llegue el mail para mandar los documentos,Cat_270,hice una denuncia por robo pero nunca me llegue el mail para mandar los documentos
quiero obtener visa credito,Cat_337,quiero obtener visa credito
querer stop debit consumo hacer tarjeta credito,Cat_112,querer stop debit consumo hacer tarjeta credito
vos me podés desbloquear la cuenta título?,Cat_170,vos me podes desbloquear la cuenta titulo
queria solicitar una cuenta que requisitos nesecito?,Cat_39,queria solicitar una cuenta que requisitos nesecito
si me arrepiento del canje  lo puedo anular?,Cat_331,si me arrepiento del canje lo puedo anular
que es superclub,Cat_323,que es superclub
puedo pagar menos del total del saldo a pagar de la tarjeta?,Cat_342,puedo pagar menos del total del saldo a pagar de la tarjeta
quisiera conocer como calcular los ingresos netos para obtener el prestamo hipotecario?,Cat_249,quisiera conocer como calcular los ingresos netos para obtener el prestamo hipotecario
porque me vino tanta plata para pagar en la tarjeta visa,Cat_138,porque me vino tanta plata para pagar en la tarjeta visa
pin usar tarjeta afuera,Cat_289,pin usar tarjeta afuera
quiero saber como ver mi prestamo preacordado para ver la tasa a pagar,Cat_258,quiero saber como ver mi prestamo preacordado para ver la tasa a pagar
se me rompió el lavarropas  que tengo que hacer para que me cubra el seguro?,Cat_265,se me rompio el lavarropas que tengo que hacer para que me cubra el seguro
puedo vender el vehículo si todavía no pagué todo el préstamo?,Cat_260,puedo vender el vehiculo si todavia no pague todo el prestamo
queria saber requisitos para un prestamo hipotecario de pesos,Cat_248,queria saber requisitos para un prestamo hipotecario de pesos
no encuentro mi tarjeta,Cat_294,no encuentro mi tarjeta
tarjeta visa plastico no llegar,Cat_293,tarjeta visa plastico no llegar
me podrían averiguar o pasar los datos y dirección para ir a buscar las tarjetas personalmente?,Cat_293,me podrian averiguar o pasar los datos y direccion para ir a buscar las tarjetas personalmente
apertura de cuenta,Cat_39,apertura de cuenta
no hay informacion de fondos comunes de inversion,Cat_172,no hay informacion de fondos comunes de inversion
número contactarse amex,Cat_147,numero contactarse amex
que es un ccredito prendario?,Cat_225,que es un ccredito prendario
cuales son los requisitos para el préstamo prendario?,Cat_248,cuales son los requisitos para el prestamo prendario
puedo usar mi tarjeta de débito para pagar spotify?,Cat_290,puedo usar mi tarjeta de debito para pagar spotify
donde veo el saldo a abonar de la tarjeta?,Cat_342,donde veo el saldo a abonar de la tarjeta
como adherirme a superclub?,Cat_299,como adherirme a superclub
me hicieron una trasferencia desde el.exterior ya an pasado hs y no se me.a acreditado,Cat_33,me hicieron una trasferencia desde el exterior ya an pasado hs y no se me a acreditado
cancelar cuenta,Cat_41,cancelar cuenta
como pagar patente del auto,Cat_132,como pagar patente del auto
me han hecho un deposito y todavía no se acredito,Cat_109,me han hecho un deposito y todavia no se acredito
quisiera saber como hacer para eliminar un seguro que me viene todos los meses en la tarjeta visa,Cat_262,quisiera saber como hacer para eliminar un seguro que me viene todos los meses en la tarjeta visa
quiero solicitar tarjeta visa signature,Cat_337,quiero solicitar tarjeta visa signature
necesito cambiar mi tarjeta de dédito porque se despegó y rompió la banda magnética.,Cat_316,necesito cambiar mi tarjeta de dedito porque se despego y rompio la banda magnetica
quisiera una tarjeta de credito soy clienta,Cat_337,quisiera una tarjeta de credito soy clienta
topar debitar servicio,Cat_106,topar debitar servicio
cuál es la tasa de interés del plazo fijo tradicional?,Cat_183,cual es la tasa de interes del plazo fijo tradicional
es necesario un examen medico para la aprobacion de un prestamo hipotecario?,Cat_208,es necesario un examen medico para la aprobacion de un prestamo hipotecario
otorgan tarjeta debito para estudiantes,Cat_359,otorgan tarjeta debito para estudiantes
quiero ver el simulador,Cat_251,quiero ver el simulador
es día del bancario atienden las sucursales?,Cat_114,es dia del bancario atienden las sucursales
puedo adquirir con préstamo hipotecario una casa que esta a nombre de una persona que murio?,Cat_211,puedo adquirir con prestamo hipotecario una casa que esta a nombre de una persona que murio
buscar extracto de cuenta,Cat_138,buscar extracto de cuenta
al momento de cancelar cuotas del prestamo se cancela solo la parte del capital,Cat_246,al momento de cancelar cuotas del prestamo se cancela solo la parte del capital
quiero conocer tasas de interés y plazo para solicitar un préstamo.,Cat_225,quiero conocer tasas de interes y plazo para solicitar un prestamo
me desapareció la luz del calendario de pagos.,Cat_129,me desaparecio la luz del calendario de pagos
quiero resolver deuda visa,Cat_192,quiero resolver deuda visa
cómo hago para recibir dinero desde el exterior?,Cat_32,como hago para recibir dinero desde el exterior
me gustaría saber si el beneficio de % en restaurantes aplica en la localidad de la costa atlántica mar azul.,Cat_311,me gustaria saber si el beneficio de en restaurantes aplica en la localidad de la costa atlantica mar azul
queria saber para poder sacar un prestamos,Cat_225,queria saber para poder sacar un prestamos
no puedo hacer transferencias,Cat_80,no puedo hacer transferencias
quiero dar de baja santander  sorpresa que se dió de alta en una tarjeta adicional de mi cuenta,Cat_320,quiero dar de baja santander sorpresa que se dio de alta en una tarjeta adicional de mi cuenta
como hago una simulacion de credito,Cat_251,como hago una simulacion de credito
la promo de despegar abarca también paquetes?,Cat_311,la promo de despegar abarca tambien paquetes
querer retirar cajero transaccion incompleto debito,Cat_297,querer retirar cajero transaccion incompleto debito
como seria un ejemplo de como se va ajustando el préstamo?,Cat_229,como seria un ejemplo de como se va ajustando el prestamo
me reclaman del exterior que no recibieron la transferencia que envíe,Cat_35,me reclaman del exterior que no recibieron la transferencia que envie
queria hacer una baja de debito automatico,Cat_89,queria hacer una baja de debito automatico
donde puedo ver los servivios que tengo con debito automatico?,Cat_93,donde puedo ver los servivios que tengo con debito automatico
solicito nuevamente la tarjeta visa de santander rio de credito la mia se rompio,Cat_316,solicito nuevamente la tarjeta visa de santander rio de credito la mia se rompio
necesitaria informar que slgo del pais tengo visa gol y la de debito,Cat_304,necesitaria informar que slgo del pais tengo visa gol y la de debito
universidades con convenio,Cat_359,universidades con convenio
antes me mandaban resumenes . pero hace un tiempo no se lo que debo,Cat_138,antes me mandaban resumenes pero hace un tiempo no se lo que debo
querer cambiar,Cat_1,querer cambiar
en todas las marcas aplica el descuento o solo las que están adheridas a la promo??,Cat_311,en todas las marcas aplica el descuento o solo las que estan adheridas a la promo
necesito comunicarme sector cobranzas,Cat_194,necesito comunicarme sector cobranzas
el viento de anoche me rompió una media sombra que tenia en mi patio me la cubre el seguro?,Cat_265,el viento de anoche me rompio una media sombra que tenia en mi patio me la cubre el seguro
ccredito prendario para comprar moto,Cat_228,ccredito prendario para comprar moto
me podes decir el numero de contacto,Cat_147,me podes decir el numero de contacto
se puede aumentar el ccredito del préstamo preacordado?,Cat_196,se puede aumentar el ccredito del prestamo preacordado
quiero activar el online banking,Cat_3,quiero activar el online banking
para comunicarme y hacer un reclamo,Cat_135,para comunicarme y hacer un reclamo
puedo sacar adelantos en efectivo afuera?,Cat_298,puedo sacar adelantos en efectivo afuera
querer tramitar cuenta bajo hijo,Cat_41,querer tramitar cuenta bajo hijo
necesito salir de mi homebanking y no encuentro el boton.,Cat_0,necesito salir de mi homebanking y no encuentro el boton
me podes decir cual es el motivo de porque no se realizo la transferencia,Cat_80,me podes decir cual es el motivo de porque no se realizo la transferencia
como tengo la tarjeta mujer woman,Cat_357,como tengo la tarjeta mujer woman
descargar movimientos,Cat_138,descargar movimientos
queria saber si teniendo cuenta de alumno de uca obtenias algun descuento a la hora de pagar la cuota,Cat_359,queria saber si teniendo cuenta de alumno de uca obtenias algun descuento a la hora de pagar la cuota
a que número debo llamar para preguntar,Cat_147,a que numero debo llamar para preguntar
ampliacion extraccion cajero,Cat_287,ampliacion extraccion cajero
habilitar home banking desde celular,Cat_3,habilitar home banking desde celular
donde puedo cancelar capital?,Cat_246,donde puedo cancelar capital
como reponer la tarjeta,Cat_316,como reponer la tarjeta
quiero hacer el pago de personal y no me lo toma,Cat_129,quiero hacer el pago de personal y no me lo toma
como hago para ver la cotización del día del dólar en el homebanking,Cat_166,como hago para ver la cotizacion del dia del dolar en el homebanking
consulta yo tengo una tarjeta visa se venció,Cat_316,consulta yo tengo una tarjeta visa se vencio
uds podrian resetearme la clave para generar una nueva...,Cat_1,uds podrian resetearme la clave para generar una nueva
querer paquete targetas select disponible retirar sucursal,Cat_293,querer paquete targetas select disponible retirar sucursal
¿como puedo desuscribirme de los emails?,Cat_125,como puedo desuscribirme de los emails
cobro comision,Cat_96,cobro comision
necesito preparar una orden de venta de mis acciones,Cat_154,necesito preparar una orden de venta de mis acciones
quiero el telefono del correo para coordinar entrega del canje,Cat_326,quiero el telefono del correo para coordinar entrega del canje
olvide contraseña online banking,Cat_1,olvide contrasena online banking
tiene mucho riesgo invertir en letes?,Cat_178,tiene mucho riesgo invertir en letes
que importe me cobran por hacer una tranferencia,Cat_83,que importe me cobran por hacer una tranferencia
¿existe un límite de plata para hacer un deposito?,Cat_110,existe un limite de plata para hacer un deposito
queria saber como esta mi estado de tarjeta de debito,Cat_293,queria saber como esta mi estado de tarjeta de debito
pasar las tarjetas de ccredito al programa de millas advantage,Cat_299,pasar las tarjetas de ccredito al programa de millas advantage
tengo un límite en el monto que puedo sacar por ventanilla?,Cat_128,tengo un limite en el monto que puedo sacar por ventanilla
subir el limite de adelanto,Cat_57,subir el limite de adelanto
donde debo abonar mi resumen?,Cat_342,donde debo abonar mi resumen
recibí una tarjeta de debito nueva se puede sacar la clave banelco por internet?,Cat_288,recibi una tarjeta de debito nueva se puede sacar la clave banelco por internet
puedo solicitar x aquí que me la manden las tarjetas a una sucursal?,Cat_318,puedo solicitar x aqui que me la manden las tarjetas a una sucursal
estudio juridico del banco santander rrio,Cat_190,estudio juridico del banco santander rrio
acreditar tarjeta descuento comprar efectuar hacer correspondiente pendiente acreditacion,Cat_312,acreditar tarjeta descuento comprar efectuar hacer correspondiente pendiente acreditacion
vos podes decirme quien es mi ejecutivo de cuentas?,Cat_126,vos podes decirme quien es mi ejecutivo de cuentas
cuando se debita osde,Cat_106,cuando se debita osde
intentar generar clave llegar ingresar,Cat_1,intentar generar clave llegar ingresar
solicito dar de baja el sorpresa santander rí¬≠¬≠¬≠¬≠¬ç¬ço,Cat_320,solicito dar de baja el sorpresa santander ri¬=¬=¬=¬=¬c¬co
quiero adherirme a rio woman,Cat_357,quiero adherirme a rio woman
tengo una tarjeta de debito que me brindo la universidad catolica de salta y queria generar un usuario debido a que ahora necesito el servicio,Cat_3,tengo una tarjeta de debito que me brindo la universidad catolica de salta y queria generar un usuario debido a que ahora necesito el servicio
quisiera abrir una cuenta,Cat_39,quisiera abrir una cuenta
que costo tiene las cuentas?,Cat_96,que costo tiene las cuentas
por los cajeros de autoservicio se pueden depositar billetes de $?,Cat_110,por los cajeros de autoservicio se pueden depositar billetes de usd
adios,Cat_7,adios
debitar boleta,Cat_129,debitar boleta
gustaria pagar adeudo,Cat_192,gustaria pagar adeudo
tuve un cortocircuito en un toma de luz  donde llamo para pedir asistencia?,Cat_265,tuve un cortocircuito en un toma de luz donde llamo para pedir asistencia
me rechazaron un cheque para deposito,Cat_47,me rechazaron un cheque para deposito
necesitar cobro mantenimiento,Cat_96,necesitar cobro mantenimiento
hacer canje punto descuento,Cat_312,hacer canje punto descuento
¿puedo pagar por adelantado cuotas del préstamo personal?,Cat_246,puedo pagar por adelantado cuotas del prestamo personal
para preguntar por un credito,Cat_225,para preguntar por un credito
queria consultar las chances para el sorteo mensual,Cat_143,queria consultar las chances para el sorteo mensual
no estaba funcionando la tarjeta y luego me enteré que estaba inhabilitada.,Cat_286,no estaba funcionando la tarjeta y luego me entere que estaba inhabilitada
como funciona el autoservicio,Cat_110,como funciona el autoservicio
consultar modificar limite extraer tarjeta debito,Cat_303,consultar modificar limite extraer tarjeta debito
cuanto me cobran de mantenimiento de cuenta?,Cat_96,cuanto me cobran de mantenimiento de cuenta
cargue plata en mi tarjeta red bus y no se me acredito,Cat_129,cargue plata en mi tarjeta red bus y no se me acredito
beneficios de una caja de ahorro,Cat_311,beneficios de una caja de ahorro
querer cargar celular opcion,Cat_132,querer cargar celular opcion
si quiero un préstamo soy cliente del banco,Cat_223,si quiero un prestamo soy cliente del banco
quisiera hacer analisis de riesgo de un préstamo hipotecario,Cat_251,quisiera hacer analisis de riesgo de un prestamo hipotecario
ultimos movimiento tarjeta,Cat_355,ultimos movimiento tarjeta
cómo se accede a pago mis cuentas desde el banco con la nueva interfaz,Cat_131,como se accede a pago mis cuentas desde el banco con la nueva interfaz
como uso mi tarjeta nueva?,Cat_301,como uso mi tarjeta nueva
era para consultar por si ya debitaron de mi cuenta el pago de la tarjeta de ccredito,Cat_279,era para consultar por si ya debitaron de mi cuenta el pago de la tarjeta de ccredito
queria recuperar los puntos superclub que cambié.,Cat_331,queria recuperar los puntos superclub que cambie
no entiendo tu respuesta,Cat_25,no entiendo tu respuesta
no quiero advantage,Cat_299,no quiero advantage
como hago para poner edesur en mi visa?,Cat_132,como hago para poner edesur en mi visa
tweng que girar desde el exterior dolares a mi cuenta platinum. donde encuentro las instrucciones de giro de divisas?,Cat_32,tweng que girar desde el exterior dolares a mi cuenta platinum donde encuentro las instrucciones de giro de divisas
donde debo llamar cuando me roban en mi casa,Cat_265,donde debo llamar cuando me roban en mi casa
cuales son los gastos de escrituración de prestamo hipotecario?,Cat_210,cuales son los gastos de escrituracion de prestamo hipotecario
que es super prestamo uvas,Cat_225,que es super prestamo uvas
dejar pagar impuesto opcion ingresar código pagar,Cat_129,dejar pagar impuesto opcion ingresar codigo pagar
necesitás información sobre el servicio de asistencia en el hogar?,Cat_265,necesitas informacion sobre el servicio de asistencia en el hogar
mis plasticos estan en la sucursal?,Cat_293,mis plasticos estan en la sucursal
la reimpresion tien costo,Cat_316,la reimpresion tien costo
necesito telefono santander,Cat_147,necesito telefono santander
tengo que incluir el sueldo con o sin el descuento de impuesto a las ganancias para calcular el préstamo hipotecario?,Cat_249,tengo que incluir el sueldo con o sin el descuento de impuesto a las ganancias para calcular el prestamo hipotecario
como hago para modificar mi foto de perfil,Cat_103,como hago para modificar mi foto de perfil
a cuanto está hoy el precio de corte de clarin,Cat_168,a cuanto esta hoy el precio de corte de clarin
variacion de cambio comprador y vendedor,Cat_166,variacion de cambio comprador y vendedor
cómo cancelo una suscripción de fondos que me equivoque?,Cat_175,como cancelo una suscripcion de fondos que me equivoque
porque no tener saldo visa,Cat_303,porque no tener saldo visa
quiero saber como puedo hacer un reclamo por una compra duplicada en una tarjeta de credito,Cat_112,quiero saber como puedo hacer un reclamo por una compra duplicada en una tarjeta de credito
necesito hacer una transferencia a una cuenta en brasil  existe alguna forma de hacerla mediante el banco?,Cat_36,necesito hacer una transferencia a una cuenta en brasil existe alguna forma de hacerla mediante el banco
pagar vep figurar cur informar no validar,Cat_132,pagar vep figurar cur informar no validar
cobrar duplicar américa express,Cat_112,cobrar duplicar america express
que es ese impuesto que me están cobrando en la cuenta sueldo?,Cat_122,que es ese impuesto que me estan cobrando en la cuenta sueldo
pague la ultima factura de mi tarjeta mas del saldo que vino en la factura que tengo que hacer porque pague pesos de mas,Cat_347,pague la ultima factura de mi tarjeta mas del saldo que vino en la factura que tengo que hacer porque pague pesos de mas
quiero pagar tarjeta santander,Cat_342,quiero pagar tarjeta santander
queria saber que necesito tener para realizar tranferencias?,Cat_83,queria saber que necesito tener para realizar tranferencias
avisar estare realizando pago,Cat_191,avisar estare realizando pago
robaron mi tarjeta american express de santander rio,Cat_294,robaron mi tarjeta american express de santander rio
telefono de tarjeta visa,Cat_147,telefono de tarjeta visa
a cuanto monto puedo acceder de hipotecario para una casa si cobro,Cat_251,a cuanto monto puedo acceder de hipotecario para una casa si cobro
necesito que me explique una retencion que me debitaron de mi caja de ahorros,Cat_115,necesito que me explique una retencion que me debitaron de mi caja de ahorros
que costo tiene las cuentas?,Cat_96,que costo tiene las cuentas
número telefono llamar cliente consultar,Cat_147,numero telefono llamar cliente consultar
no se lo que tengo que pagar de un ccredito prendario,Cat_239,no se lo que tengo que pagar de un ccredito prendario
no puedo recargar directv,Cat_129,no puedo recargar directv
que me cubre el seguro del préstamo?,Cat_250,que me cubre el seguro del prestamo
quisiera saber hasta cuanto puedo sacar en un prestamo,Cat_236,quisiera saber hasta cuanto puedo sacar en un prestamo
no me envían el resumen de la tarjeta de credito a mi casa,Cat_138,no me envian el resumen de la tarjeta de credito a mi casa
el prestamo prendario es en dolares?,Cat_225,el prestamo prendario es en dolares
cuales son las condiciones para adquirir el prestamo procrear?,Cat_248,cuales son las condiciones para adquirir el prestamo procrear
¿cuando se termina el mantenimiento para poder usar el homebanking?,Cat_124,cuando se termina el mantenimiento para poder usar el homebanking
tenés un listado de los cajeros de la zona?,Cat_91,tenes un listado de los cajeros de la zona
puedo agregar neto mensual de mi esposo estando el en veraz,Cat_244,puedo agregar neto mensual de mi esposo estando el en veraz
querer pagar tarjeta naranja online sistema,Cat_132,querer pagar tarjeta naranja online sistema
adonde es el centro de canje,Cat_322,adonde es el centro de canje
quisiera saber un telefono donde pueda hacer una consulta sobre mi cuenta de ahorro,Cat_29,quisiera saber un telefono donde pueda hacer una consulta sobre mi cuenta de ahorro
cuanto me depositoon de sueldo en mi cuenta,Cat_50,cuanto me depositoon de sueldo en mi cuenta
quisiera solicitar un prestamo personal,Cat_223,quisiera solicitar un prestamo personal
queria saber que pasó con mi ccredito hipotecario,Cat_215,queria saber que paso con mi ccredito hipotecario
tengo una tarjeta adherida al debito y la quiero desvincular,Cat_345,tengo una tarjeta adherida al debito y la quiero desvincular
no actualizar limite comprar tarjeta,Cat_303,no actualizar limite comprar tarjeta
que puedo preguntarte,Cat_16,que puedo preguntarte
quiero solicitar una tarjeta de ccredito soy estudiante de la universidad de luján,Cat_359,quiero solicitar una tarjeta de ccredito soy estudiante de la universidad de lujan
hice una compra onlain con tarjeta visa en cuotas el producto todavía no llego y estoy arrepentido se puede cancelar el pago?,Cat_281,hice una compra onlain con tarjeta visa en cuotas el producto todavia no llego y estoy arrepentido se puede cancelar el pago
puedo cancelar una compra si aún no cerró el resumen de cuenta,Cat_281,puedo cancelar una compra si aun no cerro el resumen de cuenta
no quiero recibir el resumen físico de mis inversiones,Cat_179,no quiero recibir el resumen fisico de mis inversiones
quiero adquirir letes,Cat_157,quiero adquirir letes
quiero poner lo que tengo en mi cuenta en el mix vi,Cat_176,quiero poner lo que tengo en mi cuenta en el mix vi
mandaron email tarjeta impaga,Cat_193,mandaron email tarjeta impaga
quiero dar de alta el pago de un servicio por debito automatico con la tarjeta amex,Cat_132,quiero dar de alta el pago de un servicio por debito automatico con la tarjeta amex
como actualizar nombre de usuario,Cat_1,como actualizar nombre de usuario
querer pagar edesur pagar cuenta permitir,Cat_129,querer pagar edesur pagar cuenta permitir
requisito tarjeta,Cat_337,requisito tarjeta
agregar servicio agenda pago,Cat_132,agregar servicio agenda pago
queria consultar si podria sacar un prestamo personal,Cat_223,queria consultar si podria sacar un prestamo personal
cómo hago para tener el beneficio iu,Cat_140,como hago para tener el beneficio iu
puedo usar el prestamo hipotecario para una construccion?,Cat_228,puedo usar el prestamo hipotecario para una construccion
quise hacer una transferencia en dolares y homebanking no me lo permitió.,Cat_80,quise hacer una transferencia en dolares y homebanking no me lo permitio
estoy averiguando sobre los prestamos para la compra de un auto,Cat_225,estoy averiguando sobre los prestamos para la compra de un auto
queria preguntar debitar automaticamente impuesto agendados,Cat_129,queria preguntar debitar automaticamente impuesto agendados
cuenta transferir cuenta,Cat_83,cuenta transferir cuenta
como consulto las premiaciones?,Cat_144,como consulto las premiaciones
se me acaba de bloquear la clave del telefono,Cat_1,se me acaba de bloquear la clave del telefono
quiero saber por que me cobran tanto de comision,Cat_96,quiero saber por que me cobran tanto de comision
envío de tarjetas  no me llegaron hace varios dias,Cat_293,envio de tarjetas no me llegaron hace varios dias
pedi una extension queria saber cuando estara lista,Cat_293,pedi una extension queria saber cuando estara lista
me reclaman pagos de tarjetas recibidos por mensaje de texto cuando ya la había abonado,Cat_279,me reclaman pagos de tarjetas recibidos por mensaje de texto cuando ya la habia abonado
tu comida favorita,Cat_9,tu comida favorita
cual es el numero para hablar con un operador,Cat_147,cual es el numero para hablar con un operador
tengo un problema y es que la cuenta comitente me figura como bloqueada,Cat_170,tengo un problema y es que la cuenta comitente me figura como bloqueada
hace un tiempo di de baja una cuenta universia y me sigue apareciendo en la app,Cat_41,hace un tiempo di de baja una cuenta universia y me sigue apareciendo en la app
olvidé mi contraseña,Cat_1,olvide mi contrasena
querer ingresar online banking clave usuario vencio,Cat_1,querer ingresar online banking clave usuario vencio
no me hicieron la devolucion del reintegro,Cat_312,no me hicieron la devolucion del reintegro
saber limite tarjeta credito visa comprar,Cat_303,saber limite tarjeta credito visa comprar
me tienen que enviar plata desde el exterior como tienen que hacer?,Cat_32,me tienen que enviar plata desde el exterior como tienen que hacer
se me acreditaron millas?,Cat_275,se me acreditaron millas
como puedo pasar de visa a visa gold?,Cat_86,como puedo pasar de visa a visa gold
tengo un seguro de robo en cajeros que yo nunca solicite,Cat_264,tengo un seguro de robo en cajeros que yo nunca solicite
me puedes informar sobre el estado de una transferencia internacional?,Cat_33,me puedes informar sobre el estado de una transferencia internacional
queria saber los saldos para efectuar la cancelación,Cat_246,queria saber los saldos para efectuar la cancelacion
cuanto tengo de ganancia si pongo a plazo fijo pesos por días?,Cat_181,cuanto tengo de ganancia si pongo a plazo fijo pesos por dias
como puedo relaizar el pago de la tarjeta,Cat_342,como puedo relaizar el pago de la tarjeta
puedo solicitar el préstamo prendario para comprar un auto usado?,Cat_228,puedo solicitar el prestamo prendario para comprar un auto usado
no soy cliente y quiero prestamo,Cat_248,no soy cliente y quiero prestamo
necesito el comprobante de la póliza,Cat_266,necesito el comprobante de la poliza
como puedo hacer para depositar plata para mi tarjeta de credito de santander,Cat_342,como puedo hacer para depositar plata para mi tarjeta de credito de santander
que documentacion debo presentar para pedir el préstamo personal?,Cat_247,que documentacion debo presentar para pedir el prestamo personal
que hago para ver fci,Cat_188,que hago para ver fci
si tengo otro credito me conviene cancelarlo antes?,Cat_218,si tengo otro credito me conviene cancelarlo antes
comision por sacar plata de una sucursal no propia,Cat_96,comision por sacar plata de una sucursal no propia
que pasa si por la inflacion o cambio del valor de uva no puedo pagar la cuota del prestamo hipotecario?,Cat_230,que pasa si por la inflacion o cambio del valor de uva no puedo pagar la cuota del prestamo hipotecario
no puedo pagar un servicio en pagomiscuentas.com,Cat_131,no puedo pagar un servicio en pagomiscuentas com
que beneficios tengo por tener superclub?,Cat_323,que beneficios tengo por tener superclub
queria sacar un resumen de cuenta al 31-12-2018,Cat_67,queria sacar un resumen de cuenta al number number number
por que pide coordenadas de la tarjeta de coordenadas si tengo token?,Cat_5,por que pide coordenadas de la tarjeta de coordenadas si tengo token
¿puedo comprar una vivienda que ha sido donada?,Cat_205,puedo comprar una vivienda que ha sido donada
comision transferencia internacional,Cat_31,comision transferencia internacional
como canjear puntos superclub?,Cat_322,como canjear puntos superclub
como funciona todo pago?,Cat_285,como funciona todo pago
cuales son las bonificaciones vigentes del paquete select,Cat_311,cuales son las bonificaciones vigentes del paquete select
es una persona o un robot?,Cat_26,es una persona o un robot
debitos pendientes,Cat_93,debitos pendientes
cuál es el mínimo en el tramo competitivo para licitar lebacs?,Cat_157,cual es el minimo en el tramo competitivo para licitar lebacs
como puede conocer mi número de advantage,Cat_275,como puede conocer mi numero de advantage
no figura mi póliza,Cat_271,no figura mi poliza
necesitaba anular una compra con tarjeta que hice hace poco,Cat_281,necesitaba anular una compra con tarjeta que hice hace poco
que gastos administrativos del credito personal debería abonar?,Cat_231,que gastos administrativos del credito personal deberia abonar
estoy interesado en solicitar una tarjeta de credito,Cat_337,estoy interesado en solicitar una tarjeta de credito
se evalúan otros productos para poder definir el monto de prestamo hipotecario?,Cat_251,se evaluan otros productos para poder definir el monto de prestamo hipotecario
cómo saco el dinero de un superfondo?,Cat_175,como saco el dinero de un superfondo
como puedo hacer para solicitar un préstamo,Cat_223,como puedo hacer para solicitar un prestamo
nesesito un ccredito personasl,Cat_223,nesesito un ccredito personasl
como obtengo mi clave pin para twrjetas de credito,Cat_288,como obtengo mi clave pin para twrjetas de credito
clave para tarjeta,Cat_288,clave para tarjeta
deuda telefono debo comunicarme,Cat_194,deuda telefono debo comunicarme
extension visa gold queria abonar debitar automatico unicamente extension,Cat_342,extension visa gold queria abonar debitar automatico unicamente extension
