Pregunta,Intencion,Pregunta_T1
quisiera saber como puedo hacer para agrandar mi linea de credito?,Cat_196,Me gustaría saber cómo puedo aumentar mi línea de crédito.
tendra cargo adicional recibir transferencia exterior,Cat_31,tendrá cargo adicional recibir transferencia extranjera
estoy interesado en un préstamo como son lasncuotas intereses y de más.,Cat_251,Estoy interesado en un préstamo como intereses y más.
cual es el límite de extración en el exterior,Cat_303,¿Cuál es el límite de extracción en el extranjero?
descuentos para hoy,Cat_311,descuentos para hoy
quiero saber cuando tendre disponible en mi tarjeta visa,Cat_303,Quiero saber cuándo tendré mi tarjeta de visa disponible
el prestamo personal tiene gastos de otorgamiento y administrativos del banco?,Cat_231,¿El préstamo personal tiene subvención bancaria y gastos administrativos?
como puedo saber entonces si califico para el prestamo hipotecario?,Cat_248,¿Cómo puedo saber si califico para el préstamo hipotecario?
me aparecen pagos no efectuados en mi recordatorio pero ya los pagué.,Cat_93,No veo pagos realizados en mi recordatorio pero ya los pagué.
queria cambiar la clave,Cat_1,Quería cambiar la contraseña
como hago para que me avisen cuando recibo depositos en mis cuentas ??,Cat_125,¿Cómo puedo ser notificado cuando recibo depósitos en mis cuentas?
cómo hago para pedir el cambio y pasarme a un tipo de cuenta mejor?,Cat_86,¿Cómo puedo solicitar el cambio y cambiar a un tipo de cuenta mejor?
costo reimpresion tarjetas,Cat_316,tarjetas de reimpresión de costos
cuales son los impuestos que se aplican sobre el préstamo personal?,Cat_232,¿Cuáles son los impuestos aplicados al préstamo personal?
mi plazo fijo paga impuestos?,Cat_177,¿Mi plazo fijo paga impuestos?
teng un prestamo personal q se me debit todos los meses de mi caja de ahorros  recien me fije y la cuota de diciembre se vencio ayer  pero el debito no fue hecho,Cat_239,Tengo un préstamo personal que me fue cobrado todos los meses de mi caja de ahorros que acabo de notar y la cuota de diciembre vencía ayer pero el débito no se hizo
no me figura un vep generado en pago mis cuentas de afip,Cat_129,No veo un vep generado en el pago de mis cuentas afip
soy cliente del banco y autónomo. hay posibilidad de adquirir un préstamo hipotecario?,Cat_248,Soy cliente bancario y autónomo. ¿Existe la posibilidad de adquirir un préstamo hipotecario?
necesito generar una clave en la tarjeta de débito,Cat_288,Necesito generar una clave en la tarjeta de débito
cómo se ajusta la cuota?,Cat_219,¿Cómo se ajusta la cuota?
hice la transferencia pero no se ve reflejada en el saldo de la cuenta,Cat_77,Hice la transferencia pero no se refleja en el saldo de la cuenta
necesito telefono consultar transferencia,Cat_147,Necesito un teléfono consultar transferencia
desconocimiento movimiento realizar,Cat_112,movimiento de ignorancia realizar
adhesion a servicio debito necesito ayuda,Cat_132,servicio de débito de adherencia necesita ayuda
mi tarjeta dise saldo insuficiente,Cat_303,mi tarjeta dise saldo insuficiente
queria consultar para bloquear una extencion de mi tarjeta de credito,Cat_338,Quería consultar para bloquear una extensión de mi tarjeta de crédito
puedo pagar desde mi caja de ahorro en dolares,Cat_307,Puedo pagar de mi caja de ahorros en dólares
cual es el interés para comprar una casa?,Cat_258,¿Cuál es el interés para comprar una casa?
telefono tarjeta visa platinum,Cat_147,teléfono con tarjeta visa platino
quiero arreglar deuda tarjeta credito,Cat_192,Quiero arreglar la deuda de la tarjeta de crédito
quiero saber si tengo una cuenta bancaria en este banco,Cat_61,Quiero saber si tengo una cuenta bancaria en este banco
poner parapagar debitar promoción aguar debitar,Cat_129,poner a pagar débito promoción de débito de agua
cuales son los requisitos para el préstamo hipotecario procrear?,Cat_248,¿Cuáles son los requisitos para la procreación de la hipoteca?
dentro de unos días me mandaran la tarjeta santander  débito. que beneficios tengo con esa tarjeta??,Cat_311,En unos días me enviarán la tarjeta de débito Santander. ¿Qué beneficios tengo con esa tarjeta?
debo presentar alguna documentacion para recibir transferencias del exterior?,Cat_32,¿Tengo que presentar documentación para recibir transferencias desde el extranjero?
deseo saber como es para pdir un.prestamo.,Cat_223,Quiero saber cómo es solicitar un préstamo.
quiero tomar un credito,Cat_223,Quiero tomar un crédito
me llego la tarjeta debito x primera vez a mi domicilio debo esperar que me llegue la clave mas adelante?,Cat_288,Recibí la tarjeta de débito x la primera vez en mi dirección. ¿Debo esperar a que la contraseña llegue más tarde?
cuándo es la próxima licitación de lebac,Cat_156,cuando es la proxima oferta de lebac
queria pagar total trajeta,Cat_342,Quería pagar la tarjeta completa
saque un préstamo personal y queria ver las cuotas que me faltan.,Cat_101,Tomé un préstamo personal y quería ver las cuotas que me faltan.
tengo un atraso en el pago,Cat_99,Tengo un retraso en el pago
quiero saber que día tengo descuento en combustibles,Cat_311,Quiero saber qué día tengo un descuento en combustible
como hago para cambiar la clave del cajero automatico?,Cat_288,¿Cómo puedo cambiar la contraseña del cajero automático?
blanqueo de pin tarjeta débito,Cat_288,blanqueo de tarjetas de débito
a donde entro para pago de servicios,Cat_132,¿A dónde voy para pagar los servicios?
porque no recibo la trasferencia del interior,Cat_77,porque no recibo la transferencia desde adentro
quiero historial movimiento,Cat_50,Quiero historia de movimiento
como refinanciar lo que adeudo en la tarjeta de credito,Cat_308,Cómo refinanciar lo que debo en mi tarjeta de crédito
como pago un vep generado desde la pagina de afip,Cat_132,¿Cómo pago un vep generado desde la página afip?
como pago un impuesto desde pagomiscuentas,Cat_132,¿Cómo pago un impuesto de mi cuenta?
clave fiscal,Cat_95,Clave fiscal
me dieron mi tarjeta debito para cobrar mi sueldo. de la cual ayer fui al cajero. la puse. y me pedía una clave.,Cat_288,Me dieron mi tarjeta de débito para cobrar mi salario. de los cuales fui al cajero automático ayer. Me lo puse. y me pidió una contraseña
cómo obtengo la constancia de una transferencia?,Cat_98,¿Cómo obtengo un comprobante de una transferencia?
estaba alcanzado por la resolucion del gobierno,Cat_172,fue alcanzado por la resolución del gobierno
necesito hacer cambió de domicilio como ago fui al banco y me dieron un número de telefono y me mandaron aca,Cat_103,"Necesito hacer un cambio de dirección cuando lo hice, fui al banco y me dieron un número de teléfono y me enviaron aquí"
que es upgrade,Cat_86,que es actualizar
quisiera conocer como calcular si es posible obtener el préstamo hipotecario en base al sueldo que es variable?,Cat_249,Me gustaría saber cómo calcular si es posible obtener el préstamo hipotecario en función del salario que es variable.
costo extraciones exterior,Cat_96,costo de extracciones exteriores
necesito cancelar una transferencia porque me equivoque de cbu,Cat_82,Necesito cancelar una transferencia porque estaba equivocado acerca de cbu
si es renunciar a las tarjetas visa y american express,Cat_338,si está renunciando a las tarjetas visa y american express
alguna simulación de préstamos tienen?,Cat_251,¿Alguna simulación de préstamos tienes?
por que se demora el envio del producto q habia canjeado,Cat_326,¿Por qué se retrasa el envío del producto que había intercambiado?
como hacer para cambiar el tope de debito de pago de impuestos,Cat_106,Cómo cambiar el techo de la deuda tributaria
telefono contactar,Cat_147,contacto telefónico
consultar y/o modificar el límite de extración de tarjeta de debito,Cat_303,verificar y / o modificar el límite de retiro de la tarjeta de débito
recaudación electronicas,Cat_115,colección electrónica
me pusieron un seguro que yo no pedí,Cat_264,me pusieron un seguro que no pedí
cuanto es deuda total,Cat_99,cuanto es la deuda total
quierotelefono contactar,Cat_147,quiero contacto telefónico
disponible tarjeta credito,Cat_303,tarjeta de crédito disponible
estoy interesada en las becas de estudio para españa,Cat_358,Estoy interesado en becas de estudio para España
puedo abrir caja de ahorro en el banco si no trabajo?,Cat_39,¿Puedo abrir una caja de ahorros en el banco si no trabajo?
quiero aumentar mi limite de extraccion,Cat_287,Quiero aumentar mi límite de extracción
no suman los puntos correspondientes desde hace meses,Cat_330,los puntos correspondientes no se han agregado durante meses
quiero solicitar una tarjeta de credito,Cat_337,Quiero solicitar una tarjeta de credito
que pasa si por algun tema puntual no puedo pagar la cuota del préstamo hipotecario?,Cat_240,¿Qué sucede si por algún problema específico no puedo pagar la tarifa del préstamo hipotecario?
cómo participó por mejor promedio,Cat_358,cómo participaste por mejor promedio
quiero incrementar gasto de tarjeta visa y american,Cat_302,Quiero aumentar mis gastos de visa y tarjeta americana
resumen digital,Cat_138,resumen digital
quiero que me envíen un mail cada vez que hago un gasto con la tarjeta,Cat_125,Quiero que me envíes un correo electrónico cada vez que haga un gasto con la tarjeta
se puede sacar un ccredito a nombre de otra persona?,Cat_256,¿Puedes pedir un préstamo a nombre de otra persona?
me pierde agua por la pared del baño  me cubre?,Cat_265,¿Sale agua por la pared del baño?
el préstamo se solicita por este medio o sucursales,Cat_223,el préstamo se solicita por este medio o sucursales
cuanto dinero me pueden prestar,Cat_236,cuanto dinero me puedes prestar
estudio juridico banco santander rrio,Cat_190,bufete de abogados banco santander rio
donde pido la autorización de una compra?,Cat_283,¿Dónde solicito la autorización de una compra?
solicité una nueva tarjeta de debito con tiempo porque viajo  pedí el rescate porque la necesito antes.,Cat_318,"Solicité una nueva tarjeta de débito temprano porque viajo, solicité el rescate porque lo necesito antes."
quisiera averiguar si estoy en condiciones de obtener un ccredito accesible,Cat_248,Me gustaría saber si estoy en condiciones de obtener un crédito accesible
quierotelefono contactar tarjeta,Cat_147,tarjeta de contacto telefónico
me gustaría saber acerca de la nueva promoción para la adquisición de vehículos,Cat_225,Me gustaría saber sobre la nueva promoción para la adquisición de vehículos.
me pueden cambiar las ubicaciones de las entradas para que queden juntas?,Cat_324,¿Puedo cambiar la ubicación de las entradas para que encajen?
querer comisionar transferencia exterior,Cat_31,quiere encargar transferencia extranjera
el dia no se me debitó la cuanta de aysa por no tener fondos. luego no me la visualiza para pagar ni me la debitó al tener fondos ( ese mismo día),Cat_129,el día que no se me adeuda la cuenta de aysa por no tener fondos. entonces no lo visualiza para pagar ni me lo debitó cuando tenía fondos (ese mismo día)
me gustaria acceder al ultimo resumen,Cat_138,Me gustaría acceder al último resumen
necesito el comprobante del pago de un préstamo que hice,Cat_98,Necesito comprobante de pago de un préstamo que hice
aumentar el limite de la tarjeta de credito,Cat_302,aumentar el límite de la tarjeta de crédito
enviar poliza direccion correar electronico equivocado,Cat_267,enviar política dirección de correo electrónico correo electrónico incorrecto
como se saca la tarjeta santander rio women???,Cat_357,¿Cómo obtener la tarjeta santander rio women ???
quisiera saber si sigue el descuento y las cuotas,Cat_311,Me gustaría saber si el descuento y las tarifas continúan
cual es la relacion entre cuota y sueldo para obtener un préstamo hipotecario?,Cat_249,¿Cuál es la relación entre la cuota y el salario para obtener un préstamo hipotecario?
cargar sube online banking descuento,Cat_312,subir subir descuento de banca en línea
cuales son los papeles que tengo que presentar para pedir un préstamo?,Cat_247,¿Cuáles son los documentos que tengo que presentar para solicitar un préstamo?
por que aun no se hizo el debito automatico de edenor?,Cat_129,¿Por qué el débito automático edenor aún no se ha realizado?
quiero depositar fondos comunes inversión,Cat_176,Quiero depositar inversiones de fondos mutuos
cobro transferencia bancaria,Cat_83,colección de transferencia bancaria
abrir pasaportar esperar cuil precaria,Cat_39,pasaporte abierto esperar cuil precario
cual es el descuento real en ?,Cat_311,¿Cuál es el descuento real?
puedo usar el prestamo hipotecario para construir?,Cat_228,¿Puedo usar el préstamo hipotecario para construir?
todavía no se me acutualizó el saldo disponible.,Cat_279,El saldo disponible aún no se ha actualizado.
consultar movimientos de tarjeta de credito,Cat_355,verificar los movimientos de la tarjeta de crédito
no dieron bajo cta pedi,Cat_41,no dieron bajo pedido
nescesito abrir banco,Cat_39,Necesito abrir un banco
cuanta ganancia tengo si invierto $,Cat_178,¿Cuánto beneficio tengo si invierto $
si califico en el préstamo hipotecario  cual es el próximo paso?,Cat_241,"Si califico para el préstamo hipotecario, ¿cuál es el siguiente paso?"
para saber si tengo credito en mi tarjeta,Cat_303,para saber si tengo crédito en mi tarjeta
mi tarjeta de debito perteneciente a mi caja de ahorro está gastada y necesito reemplazarla. como se hace dicha gestion,Cat_316,Mi tarjeta de débito de mi caja de ahorros está gastada y necesito reemplazarla. ¿Cómo se hace esa gestión?
necesito saber cómo darle de alta a un plazo fijo,Cat_181,Necesito saber cómo registrar un término fijo.
ampliar linea de credito a mi tarjeta adicional,Cat_335,extender la línea de crédito a mi tarjeta adicional
hablar deuda,Cat_194,hablar de deuda
autorizaciones american express,Cat_283,autorizaciones expresas americanas
como puedo inscribirme para obtener un préstamo hipotecario para vivienda propia?,Cat_223,¿Cómo puedo inscribirme en un préstamo hipotecario con garantía hipotecaria?
soy cliente.quiero consultar sobre un prestamo personal,Cat_225,Soy un cliente Quiero preguntar sobre un préstamo personal.
consulta yo tengo una tarjeta visa se venció,Cat_316,"Mira, tengo una tarjeta visa vencida"
queria acesorarme sobre las condiciones de un prestamo prendario,Cat_225,Quería conocer las condiciones de un préstamo de compromiso.
necesito ayuda con un comprobante,Cat_98,Necesito ayuda con un recibo
querí¬≠¬≠¬≠a saber que es la comision custodia,Cat_115,Quería ¬ ¬ ≠ ¬ ≠ saber cuál es la comisión de custodia
cual es el costo de las operaciones financieras,Cat_96,¿Cuál es el costo de las operaciones financieras?
no estoy recibiendo los mensajes sorpresa,Cat_321,No recibo los mensajes sorpresa
quiero sacar $ puedo en cuantas cuotas?,Cat_251,Quiero retirar $ ¿puedo en cuántas cuotas?
tarjeta credito clave,Cat_288,tarjeta de crédito clave
perdi tarjeta adicional,Cat_294,tarjeta adicional perdida
recuperar pin cajero automatico,Cat_288,recuperar pin ATM
necesito reponer mi tarjeta de debito,Cat_316,Necesito reemplazar mi tarjeta de débito
como saber cuanto saldar pagar visa,Cat_342,Cómo saber cuánto pagar para pagar la visa
si pongo en un plazo fijo a dias cuanto es mi ganancia,Cat_181,si pongo en un período fijo de días cuánto es mi ganancia
cuanto pagan en el plazo fijo? de cuanto es la taza??,Cat_183,¿Cuánto pagan en el plazo fijo? ¿Cuánto cuesta la copa?
viajo al exterior como doy de alta la asistencia?,Cat_282,"Viajo al extranjero, ¿cómo registro la asistencia?"
puedo comprar desde mi cuenta en dolares?,Cat_166,¿Puedo comprar desde mi cuenta en dólares?
hice una transferencia hacia otro banco pero no se realizo.,Cat_80,Hice una transferencia a otro banco pero no se hizo.
cuales son los requisitos a presentar para el préstamo,Cat_248,¿Cuáles son los requisitos para presentar el préstamo?
necesito comunicarme departamento cobranzas exterior,Cat_194,Necesito contactar al departamento de cobranzas extranjero
no tengo el mismo monto de dunero en el findo comun de inversion,Cat_172,No tengo la misma cantidad de dinero en el fondo de inversión común
para poder transferir me pide que acepte terminos y condiciones,Cat_79,"Para transferir, me pides que acepte los términos y condiciones"
anoche paguemi resumen por pesos hoy me debito el total,Cat_350,anoche pagué resumen en pesos hoy cobro el total
anoche fuimos al cajero y nos robaron con mi marido y queria saber cómo era el procedimiento para denunciar,Cat_265,Anoche fuimos al cajero automático y nos robaron con mi esposo y quería saber cómo se reportaba el procedimiento
y cual sería el monto máximo en pesos?,Cat_236,¿y cuál sería la cantidad máxima en pesos?
monto tener tarjeta,Cat_303,Tengo una tarjeta
quiero registrarme,Cat_3,quiero registrarme
me explicás cómo funciona la cuenta corriente?,Cat_53,¿Puedes explicar cómo funciona la cuenta corriente?
deposité un cheque en mi cuenta y me aparece como movimiento en la cuenta corriente no sé porque,Cat_49,Deposité un cheque en mi cuenta y aparece como un movimiento en la cuenta corriente. No sé por qué.
olvide mi clave banelco,Cat_288,olvida mi llave de banelco
puedo vender el auto en medio del ccredito?,Cat_260,¿Puedo vender el auto en medio del crédito?
porque hice el cambio de suscripción y quiero averiguar en que programa quedé,Cat_300,porque hice el cambio de suscripción y quiero saber en qué programa me quedé
costo habilitar notificación,Cat_125,notificación de habilitación de costos
solicitar targeta,Cat_337,tarjeta de solicitud
quiero devolver un premio que me llegue fallado,Cat_329,Quiero devolver un premio que me ha fallado
cuales son las condiciones de la propiedad a comprar con un préstamo hipotecario?,Cat_211,¿Cuáles son las condiciones de la propiedad para comprar con un préstamo hipotecario?
necesito cambiar los asientos que me asignaron porque están separados.,Cat_324,Necesito cambiar los asientos que me asignaron porque están separados.
caja de ahorros,Cat_39,caja de Ahorros
cómo solicitar estados de cuenta,Cat_138,cómo solicitar extractos de cuenta
quiero hacer la baja de las cuentas de debito y de credito,Cat_41,Quiero cancelar las cuentas de débito y crédito.
super prestamo,Cat_225,super préstamo
en el préstamo  como varía mi cuota mes a mes?,Cat_219,"En el préstamo, ¿cómo varía mi pago mensual?"
como pagar tarjeta naranja por el sistema,Cat_132,cómo pagar una tarjeta naranja a través del sistema
ver mis inversiones,Cat_188,ver mis inversiones
quiero costo tarjeta debito visa,Cat_96,Quiero un costo de tarjeta de débito visa
necesito saber el pin para operar por primera vez en cajero banelco,Cat_288,Necesito saber el pin para operar por primera vez en un cajero automático de Banelco
queria saber que requisitos se necesitan para aplicar al ccredito?,Cat_248,¿Quería saber qué requisitos son necesarios para solicitar un crédito?
se me rompió la tarjeta,Cat_316,Rompí mi tarjeta
en donde tengo que ingresar para un nuevo pago de servicio,Cat_132,¿Dónde debo ingresar para un nuevo pago de servicio?
desde esta mañana intento hacer transferencias y no puedo lograrlo,Cat_80,Desde esta mañana trato de hacer transferencias y no puedo hacerlo
me han realizado una transferencia desde españa. en euros. que tengo que hacer,Cat_32,He hecho un traslado desde España. en euros que tengo que hacer
me llego la alerta de que mañana con sorpresa santander hay un descuento me podrías confirmar si la página de internet esta adherida a la promo?,Cat_311,Recibí la alerta de que mañana con sorpresa Santander hay un descuento. ¿Podría confirmar si el sitio web está adjunto a la promoción?
necesito a ceder a los ultimos movimientos a traves de hombaking como puedo hacer,Cat_50,Necesito rendirme a los últimos movimientos a través de hombaking ¿Cómo puedo hacerlo?
queri saber si el super prestamo es para monotributistas ?,Cat_248,¿Quería saber si el superpréstamo es para monotributistas?
necesito saber si estan disponibles los creditos de desarrollo urbanistico,Cat_200,Necesito saber si los créditos de desarrollo urbano están disponibles
quiero cambiar los datos que figuran en la póliza de mi seguro.,Cat_267,Quiero cambiar la información que aparece en mi póliza de seguro.
cuales son los beneficios en aeropuertos con mi tarjeta black,Cat_284,¿Cuáles son los beneficios en los aeropuertos con mi tarjeta negra?
en la avda santa fe hay lugares de trabajo y salas de trabajo que capacidad tienen las salas,Cat_149,en la avenida santa fe hay lugares de trabajo y salas de trabajo que tienen las habitaciones
en que parte está el pago mínimo,Cat_351,donde es el pago mínimo
algun telefono para llamar?,Cat_147,Cualquier teléfono para llamar?
transacciones al exterior,Cat_36,transacciones extranjeras
quiero averiguar por las fechas letes,Cat_156,Quiero saber por las fechas
donde solicito una chequera?,Cat_44,¿Dónde solicito una chequera?
a partir de cuándo mis consumos suman millas aadvantage?,Cat_272,¿desde cuándo mis consumos agregan millas a la ventaja?
un prestamo de en cuotas como serias las cuotas y si son fijas?,Cat_251,un préstamo a plazos ¿qué tan graves son las cuotas y si son fijas?
no tengo la clave de la tarjeta de debito tengo la del homebamking pero no la del cajero.,Cat_288,"No tengo la clave de la tarjeta de débito, tengo la clave de homebamking pero no la clave del cajero."
pago tarjeta atrasada,Cat_192,pago tardío con tarjeta
quiero recuperar mi clave fiscal por homebanking... no encuentro la opcion,Cat_95,Quiero recuperar mi código de impuestos para la banca en casa ... No puedo encontrar la opción
cuanto es la comisión para comprar bonos?,Cat_96,¿Cuánto cuesta la comisión para comprar bonos?
me mandaron un sms por una deuda,Cat_193,Me enviaron un SMS por una deuda
como sé si puedo pagar un servicio por la página del banco?,Cat_132,¿Cómo sé si puedo pagar un servicio a través de la página del banco?
error en deposito de cheque,Cat_43,comprobar error de depósito
te gusta la comida,Cat_9,te gusta la comida
un préstamo personal,Cat_225,un préstamo personal
me interasaria solicitar un credito,Cat_223,¿Desea solicitar un crédito?
numero telefonico consultar,Cat_147,número de teléfono consultar
cómo denuncio que se me rompió un electrodoméstico?,Cat_265,¿Cómo denuncio un aparato roto?
hay posibilidad de editar la fecha de cierre de la tarjeta?,Cat_348,¿existe la posibilidad de editar la fecha de cierre de la tarjeta?
no estan leyendo mi reclamo,Cat_135,No están leyendo mi reclamo
estoy en el exterior y necesito modificar el limite de extración de cajero,Cat_287,Estoy en el extranjero y necesito modificar el límite de retiro de cajero automático
que costo tiene el tramite de compra-venta de préstamo hipotecario?,Cat_210,¿Cuál es el costo del proceso de compra-venta de préstamos hipotecarios?
que número tengo que llamar para la activación de mi tarjeta de credito,Cat_301,¿A qué número debo llamar para activar mi tarjeta de crédito?
queria saber porq no me sale el comprobante de un pago q realice a aguas cordobesas?,Cat_98,Quería saber por qué no puedo obtener un comprobante de un pago que hice a las aguas de Córdoba.
necesito saber como se obtiene préstamo personal,Cat_223,Necesito saber cómo obtener un préstamo personal.
me decís que es el cargo por cobertura que figura en el resumen?,Cat_85,dígame cuál es el cargo de cobertura que figura en el resumen?
como calcula el costo de la propiedad?,Cat_217,¿Cómo se calcula el costo de propiedad?
necesito el numero de cuit del banco,Cat_105,Necesito el número del banco
si. como veo mi resumen del mes de julio y agosto?,Cat_138,si. ¿Cómo veo mi resumen de julio y agosto?
donde puedo consultar tarifas?,Cat_96,¿Dónde puedo consultar las tarifas?
necesito saber si me pueden ayudar a saber sobre la resolucion de un siniestro,Cat_270,Necesito saber si puedes ayudarme a saber sobre la resolución de un accidente
crear cuenta plazo fijo,Cat_169,crear cuenta de plazo fijo
conocer limites de compra que tengo,Cat_303,saber los límites de compra que tengo
pago anticipado súper prestamo,Cat_246,súper préstamo prepago
la transferencia programada que realice tiene como.fecha de ejecucion un día no hábil. cuando se ejecutará ? al día siguiente hábil?,Cat_81,la transferencia programada que realice tiene un día no laborable como fecha de ejecución. ¿Cuándo se ejecutará el próximo día hábil?
interesasacar tarjeta infinity,Cat_337,interés sacar tarjeta infinito
quiero requisito obtener tarjeta,Cat_39,Quiero obtener una tarjeta
supercuenta universidades,Cat_359,universidades súper cuenta
quiero desactivar el servicio de inicio automatico de la app,Cat_2,Quiero deshabilitar el servicio de inicio automático de la aplicación
no soy clienta del banco y me interesa recibir informacion sobre creditos personales,Cat_248,No soy cliente del banco y estoy interesado en recibir información sobre créditos personales
para crear una cuenta online banking?,Cat_3,crear una cuenta bancaria en línea?
no puedo realizar transferencias hay algún tope? me dice no es posible acceder a la información solicitada intente mas tarde,Cat_80,"No puedo hacer transferencias, ¿hay un límite? me dice que no es posible acceder a la información solicitada, intente nuevamente más tarde"
tengo mi tarjeta de credito que vence yo viajo y necesito tener la nueva tarjeta,Cat_316,"Tengo mi tarjeta de crédito que vence, viajo y necesito tener la nueva tarjeta"
como se hace el pago de la tarjeta?,Cat_342,¿Cómo se realiza el pago con tarjeta?
beneficios de tarjeta visa debito infinity,Cat_311,beneficios de la tarjeta de débito infinito
que es renovación capital e intereses en plazos fijos?,Cat_180,¿Qué es la renovación de capital e intereses en términos fijos?
cómo sé si soy select?,Cat_142,¿Cómo sé si soy selectivo?
hacer recargar subir cargar dinero,Cat_129,recargar subir cargar dinero
quiero traspasar unos bonos que tengo,Cat_150,Quiero transferir algunos bonos que tengo
consulta...existe la posibilidad de comprar reales en alguna sucursal de santander rio?,Cat_166,Consulta ... ¿Existe la posibilidad de comprar reales en cualquier sucursal de Santander Rio?
papel debo presentar abir caja ahorrar pesos,Cat_39,papel debo presentar caja abierta guardar pesos
cuanto me dio de interés hasta ahora el fondo,Cat_174,cuánto me dio interés el fondo hasta ahora
queria saber sobre el limite de mi tajeta de credito.,Cat_303,Quería saber sobre el límite de mi tarjeta de crédito.
quiero subir de paquete,Cat_86,Quiero subir un paquete
por que no tengo linea crediticia en este momento,Cat_197,por qué no tengo una línea de crédito en este momento
necesito cambiar direccion seguro vivienda,Cat_267,Necesito cambiar la dirección de mi seguro de hogar
como saco credito refaccion,Cat_228,¿Cómo obtengo un crédito de reemplazo?
cual es el numero de superlinea,Cat_147,cual es el numero superline
que datos debo darle a mi banco de otro país para enviarme dolares?,Cat_32,¿Qué información debo darle a mi banco de otro país para que me envíe dólares?
cual es el costo de mantenimiento de cuenta,Cat_96,¿Cuál es el costo del mantenimiento de la cuenta?
cómo puedo hacer un deposito de un cheque?,Cat_49,¿Cómo puedo hacer un depósito de un cheque?
quiero poner a mi marido como cotitular,Cat_38,Quiero poner a mi esposo como copropietario
me mandaron un mail q la cuenta tiene un giro sobre lo acordado,Cat_56,Me enviaron un correo electrónico diciendo que la cuenta tiene un giro en lo acordado.
se debito de mi cuenta pero el cajero dijo transaccion incompleta,Cat_297,se debitó de mi cuenta pero el cajero dijo que la transacción estaba incompleta
decime el importe total de la cuota por el valor de la operacion de compra de una casa por de pesos,Cat_251,dígame el monto total de la tarifa por el valor de la operación de comprar una casa por pesos
adherir un debito automatico,Cat_132,agregar un débito automático
hacer tramite enviar plastico semana nunca llegar,Cat_293,hacer papeleo enviar semana plástica nunca llega
queria saber si tengo la posibilidad de sacar un préstamo soy cliente,Cat_225,"Quería saber si tengo la posibilidad de pedir un préstamo, soy cliente"
me simulas una cuota para comprar un departamento de?,Cat_251,¿Simula una tarifa para comprar un apartamento?
como hago para acumular millas con mis compras?,Cat_274,¿Cómo puedo ganar millas con mis compras?
aumentar el monto de una transferencia,Cat_83,aumentar la cantidad de una transferencia
tarjeta enviar correar seguimiento,Cat_293,seguimiento de ejecución de envío de tarjeta
pasarme numero telefónico comunicarme,Cat_147,pásame número de teléfono comunicate
seria pagar en cuotas un solo consumo no el total del resumen,Cat_308,"sería pagar en cuotas un consumo único, no el total del resumen"
soy profesional independiente. puedo acceder a las lineas de préstamos hipotecarios para compra de vivienda?,Cat_248,Soy un profesional independiente ¿Puedo acceder a las líneas de préstamos hipotecarios para comprar una casa?
telefono creditos,Cat_147,créditos telefónicos
quiero cancelar deuda,Cat_192,Quiero cancelar la deuda
prestamo hipotecario,Cat_225,préstamo hipotecario
necesito reponer mi tarjeta de debito,Cat_316,Necesito reemplazar mi tarjeta de débito
quiero dar de baja la membresia de american airlines,Cat_299,Quiero darme de baja de la membresía de American Airlines
cuales son los requisitos para adquirir un hipotecario,Cat_248,¿Cuáles son los requisitos para adquirir una hipoteca?
yo tengo un seguro contratado de cáncer con el banco y quiero tramitar la baja,Cat_262,He contratado un seguro contra el cáncer con el banco y quiero procesar el retiro
necesito seguro del viajero,Cat_282,Necesito seguro de viaje
quiero recibir dinero desde el exterior,Cat_32,Quiero recibir dinero del exterior
costar transferencia internacional,Cat_31,costo de transferencia internacional
calendarios de pago,Cat_93,horarios de pago
me decís las fechas en las que puedo comprar letes?,Cat_156,¿Me puede decir las fechas en que puedo comprar leche?
querer agregar servicio agenda pago,Cat_132,desea agregar servicio de agenda pagada
servicio pagar descontar necesitar reintegrar monto,Cat_129,servicio de pago de descuento necesita reembolsar el importe
yo canje hace unos dias y me comunicaron que no me habian podido encontrar en mi domicilio,Cat_326,Intercambié hace unos días y me dijeron que no habían podido encontrarme en mi casa
necesitar ayudar leer resumen inversión,Cat_188,necesita ayuda para leer el resumen de inversión
término condiciones transferencia tercero,Cat_83,términos de transferencia del tercer término
pasa olvido informar pago,Cat_195,olvide informar el pago
en cuantas cuotas puedo pedir el préstamo hipotecario?,Cat_242,¿En cuántas cuotas puedo solicitar el préstamo hipotecario?
quisiera saber el número de sucursal del banco situado en luján. en la av pellegrini,Cat_91,Me gustaría saber el número de sucursal del banco ubicado en Luján. en av pellegrini
realize un deposito en pesos el dia deoctubre y aun no impacto. tengo el comprobante el destino fue una cuenta especial pesos pero era a mi cuenta,Cat_109,realiza un depósito en pesos en octubre y aún no tiene impacto. Tengo el recibo el destino era una cuenta especial pesos pero era mi cuenta
ayer me mandaron una tarjeta de ccredito ya la puedo utilizar en los comercio,Cat_301,ayer me enviaron una tarjeta de crédito y puedo usarla en tiendas
enviar tarjeta priority pass no llegar,Cat_293,enviar tarjeta de pase de prioridad no llega
yo realice un canje de puntos por un producto el cual pague el envio a mi domicilio pero nunca fue nadie a enviarmelo,Cat_326,Hice un intercambio de puntos por un producto que paga el envío a mi dirección pero nadie me lo envió.
yo tenia hace semanas un fci con 177 mil pesos hasta el dia de hoy,Cat_172,Hace semanas tuve un fci con 177 mil pesos hasta hoy
