clean_txt,Intencion
cuando me mandaron la tarjeta me pusieron el segundo apellido adelante y necesito modificarlo,Cat_315
para un auto usado,Cat_228
clave santander venciogenerar,Cat_1
como adherirse a woman,Cat_357
compre en un local con ahora12 pero me pasaron menos cuotas,Cat_336
se esta realizando el debito automatico de un servicio en mi tarjeta de credito que no es mio,Cat_112
quisiera saver cuando me reintegran el limite de compra de la tarjeta ao¬ √o¬°¬ i c ¬ ¬°¬ c ≈°¬ √= a ¬°¬ ¬π,Cat_314
cuando me dicen en que fecha voy a cobrar lo que me corresponde de accidentes personales,Cat_270
necesito si me podes brindar el telefono de la sucursal,Cat_91
en donde puedo generar el pin para adelantos en efectivo,Cat_288
como hago para denunciar un robo,Cat_265
necesito el certificado de covertura del seguro de mi auto,Cat_266
no puedo compra con mi tarjeta de credito,Cat_286
no quiero saber que cubre mi seguro,Cat_265
no haber disponible tarjeta,Cat_303
me podes explicar como funciona el programa advantage,Cat_277
monto maximo pago tarjeta debito,Cat_303
necesito un prestamo personal no soy cliente q tengo q hacer,Cat_248
que limite tengo para sacar plata afuera,Cat_303
convenio universidades,Cat_359
solicitar trajeta credito,Cat_337
telefono de atencion telefonica,Cat_147
operar en todopago,Cat_285
que significa prestamo hipotecario uvas,Cat_204
como se abre una super cuenta,Cat_39
cuanto tarda en adherirse un servicio a debito automatico,Cat_106
querer debitar patentar auto,Cat_132
blanquiamiento de la tarjeta,Cat_288
hacer una simulacion,Cat_251
quiero cambiar banco tendria ofrecer,Cat_39
quiero elevar una queja,Cat_133
vencimiento de puntos,Cat_323
me figura un saldo positivo en la cuenta corriente y no entiendo producto de que,Cat_115
como hago para cancelar una deuda,Cat_192
puedo solicitar un prestamo prendario para comprar una moto,Cat_228
necesitar informacion adherir servicio debitar automatico,Cat_132
pagar imponer online banking,Cat_132
como se pueden ver las compras realizadas con la tarjeta,Cat_355
quiero necesito gestionar transferencia,Cat_83
tomar compromiso pago,Cat_191
tengo que solicitar autorizacion para comprar monedas extranjeras desde mi hombanking,Cat_166
generar clave,Cat_1
saber limite tarjeta credito visa comprar,Cat_303
por que no veo mis bonos en homebanking,Cat_187
tarjeta recibo sueldo,Cat_337
saber tener monto tarjeta,Cat_303
tengo un consumo duplicado en mi tarjeta visa del dia de junio,Cat_112
hasta q importe pueden prestarme,Cat_236
donde puedo certificar mi firma,Cat_94
me llamaron a la manana y yo trabajo por la noche no quiero que me vuelvan a molestar en ese horario,Cat_136
cargar cordoba saldar,Cat_129
como cierro la sesion de forma correcta en online banking y app santander,Cat_0
comissao custodia,Cat_115
que tengo que hacer para pedir el preacordado,Cat_223
cuales son las condiciones para adquirir el prestamo procrear,Cat_248
que fechas debitan el pago de mi celular necesito saber,Cat_93
se puede preaprobar telefonicamente un prestamo =,Cat_223
porque motivos se me bloquea la clave online banking,Cat_1
numero departamento judicial banco,Cat_190
costo de renovacion de tarjeta gold,Cat_340
servicio cobrar cobrar,Cat_129
limite extracion cajero tarjeta credito visa,Cat_303
cual es el limite para pagar con tarjeta de debito,Cat_303
si recargo por la app santander tengo que ir a confirmar la operacion a una terminal sube,Cat_132
como funcionan los limites y disponibles de mi tarjeta santander credito,Cat_303
me cambiaron el premio y me enviaron otra cosa,Cat_329
necesito habilitar mi tarjeta para comprar por internet,Cat_290
quiero saber donde me entregarian la tarjeta de debito,Cat_293
en lugar de ser una transferencia inmediata aparece como transferencia de hs,Cat_80
quiero comunicarme con ustedes y no me deja porque me dice que mi clave de acceso esta bloqueada,Cat_1
para hacer el planv,Cat_308
quiero saber si una persona que es jubilada puede solicitar el prestamo hipotecario en uvas,Cat_234
prestamo hipotecario,Cat_225
como tendria q hacer para sacar un prestamo,Cat_223
puedo retirar mis dolares en caja de cualquier sucursal,Cat_128
bajo paquete tener,Cat_41
cobro cajero no uso tarjeta,Cat_97
no me quedo claro si se hizo el stop debit o no si es para este mes o el proximo,Cat_353
hay credito disponible en la american,Cat_303
extender monto diario tarjeta debito,Cat_287
queria saber si algun representante se puede comunicar con migo,Cat_134
tengo que presentar recibo de sueldo para una tarjeta,Cat_337
tengo un seguro de la casa y se me rompio el televisor y una cafetera,Cat_265
adonde mando la documentacion de siniestros,Cat_270
online se puede hacer el prestamo,Cat_223
si vendo el auto dejo de pagar el prestamo,Cat_260
quisiera saber mi cbu para poder realizar una transferencia a mi cuenta,Cat_42
no encuentro los comprobantes de transferencia,Cat_98
crear alerta,Cat_125
necesito que un tercero me deposite dinero en mi cuenta,Cat_110
la venta de acciones tiene comision de salida,Cat_96
quiero debito automatico,Cat_87
estoy participando en tus chances del sorteo por cobrar sueldo honorarios,Cat_143
soy clienta del banco nacion y me quiero pasar a su banco,Cat_39
en que horario puedo vender dolares online,Cat_166
tarjeta american express crear usuario,Cat_1
cual sucursal puedo retirar los nuevos plasticos,Cat_293
cual es el tope diario con debito,Cat_303
tenes el numero de cobranza,Cat_194
que edad tienes,Cat_17
a que becas puedo aplicar siendo estudiante,Cat_358
actualizacion dato online banking,Cat_125
pagar adicional,Cat_342
para cerrar la pagina que pasos tengo que hacer,Cat_0
necesito imprimir el resumen de mi tarjeta para pagar en un rapipagoo,Cat_138
transpaso de acciones entre cuentas,Cat_150
me olvide la tarjeta en el cajero,Cat_294
cuando llega a sucursal la reposicion de mi tarjeta de debito,Cat_293
me entraron a robar y se llevaron dinero eso lo cubre el seguro,Cat_265
consultar limite cuota,Cat_303
costo mantenimiento tarjeta de credito,Cat_340
como abro una cuenta en santander,Cat_39
suscribirme a las promociones,Cat_311
como puedo sacar una tarjeta recargable si no soy cliente,Cat_313
que necesito para transferir desde otro banco a una caja de ahorro en dolares en el santander,Cat_83
ahorro en nafta,Cat_311
las letes se renuevan cada dias,Cat_162
quisiera saber respecto de los creditos personales,Cat_225
quiero saber mi saldo de deuda,Cat_99
debitaronon compra fallir postnet,Cat_112
pago del exterior,Cat_32
tengo que contratar un seguro asociado al prestamo prendario,Cat_250
cual es el costo financiero total,Cat_224
quedar enviarte tarjeta debito recibir,Cat_293
si me deja de funcionar la monedero que hago,Cat_305
que datos debo darle a mi banco del exterior para enviarme dolares,Cat_32
mis puntos aadvantage,Cat_275
no me deja transferir,Cat_80
quiero saber si es posible obtener un prestamo de,Cat_248
eplicacion de metodo de amortizacion frances,Cat_252
quiero saber porque figura en negativo mi cuenta,Cat_56
jubilados pueden aplicar al prestamo,Cat_234
pagar visa dolar,Cat_307
quiero informacion del plazo y las tasas de interes de los prestamos,Cat_225
los prestamos hipotecarios son solo para primera vivienda,Cat_228
puedo reemplazar la vivienda por otra y seguir con el mismo hipotecario,Cat_255
costo comision comprar lebacs,Cat_96
necesito cancelar un pago hecho a travez de home banking,Cat_129
comision de uso de cajeros no propios pero yo no hice ninguna transacion,Cat_97
el cajero me me decia que el monto que queria extraer excedia lo que peudo sacar,Cat_287
quiero el rescate de la tarjeta visa llame a el correo y no tenian ninguna carta a mi nombre,Cat_318
solicite la chequera en una sucursal y la enviaron a cualquiera,Cat_46
algun numero llamar,Cat_147
como puedo hacer para ver el resumen,Cat_138
que tramite tengo que hacer para operar en brasil con mi tarjeta,Cat_289
cuando se descuenta un servicio en debito,Cat_106
quieronumero telefono comunicar alguien,Cat_147
quiero pedir tarjeta debitar,Cat_39
que costo tienen las alertas por sms,Cat_125
como adquirir una entrada,Cat_354
acreditacion de transferencia,Cat_77
demora impactar adhesion a servicios,Cat_106
como es el programa de millass de american airlines,Cat_277
no me aceptan la tarjeta dice pedir autorizacion,Cat_283
hice la gestion por un siniestro y todavia no tengo novedades,Cat_270
necesito un certificado bancario,Cat_42
me sale error en online banking,Cat_117
quiero hacer una transferencia al exterior desde mi caja de ahorro en dolares,Cat_36
quiero adquirir el prestamo cual es la tasa diferencia entre sacarlo en o cuotas,Cat_258
adheria pago servicio realizar bonificacion,Cat_312
queria saber si los pagos con tarjeta de debito tienen un monto maximo,Cat_303
se puede retirar la tarjeta en la sucursal que tengo cerca de mi casa,Cat_318
quiero vincular a mi esposa en la cuenta,Cat_38
mirar efectuar pagar tarjeta,Cat_307
un nro de telefono para pedir la baja de mis tarjetas,Cat_338
cuanto tengo que abonar este mes del prestamo que me dieron,Cat_239
nunca recibi no llegar mail tarjeta mastercard,Cat_293
debito limite comprar,Cat_303
cuales son los requisitos para acceder a un ccredito hipotecario,Cat_248
restaurantes en mar del plata,Cat_311
tengo un seguro que se llama ike en mi cuenta y no se que es,Cat_261
demora de acreditacion venta de bonos,Cat_161
online imposible generar clave deja,Cat_1
como consulto el resumen de mi cuenta,Cat_138
quiero renovar la inversion que tengo en lebacs,Cat_162
q uiero solicitar el recambio del plastico de latarjeta visa,Cat_316
quiero saca un prestamo para cambiar el auto,Cat_223
mail para enviar consulta,Cat_29
como hago para recargar saldo en mi cel prepago con mi tarjeta de debito,Cat_132
quiero anular un pago que hice con la tarjeta de debito,Cat_281
puedo pagar la cuota del prestamo hipotecario antes del vencimiento,Cat_239
que significa autorizacion de compra,Cat_283
credito para la compra de terrenos,Cat_228
que tipos de prestamos hay frances aleman,Cat_252
yo tengo una visa gold y quiero saber si cuento con los descuentos y beneficios de esas tarjetas,Cat_311
reposicion reclamar no llegar,Cat_293
obtener ayuda para crear mi nuevo home banking,Cat_3
querer pagar monotributo,Cat_132
pagar facturar vencer online banking,Cat_132
como pagar la tc,Cat_342
como se invierte en la bolsa de merval,Cat_151
viajar exterior necesitar querer debitar gasto afuera,Cat_289
hace mas de una hora que trato de contactarme por telefono se repite constantemente las opciones y nunca me atienden,Cat_127
nunca ingrese a online banking podrian ayudarme,Cat_3
como se si soy deudora,Cat_99
como hacer mi pago por internet,Cat_132
no puedo pagar el monotributo por online banking,Cat_129
cuanto tarda una transferencia de una cuenta santander a otra cuenta santander,Cat_77
cancelar cuenta universitaria,Cat_41
donde miro la cotizacion de dolar para efetuar pago de tarjeta,Cat_307
como puedo tener la tarjeta de credito,Cat_337
alguien me podria decir si se puede pagar el resumen de la tarjeta en pago facil o rapi pago,Cat_342
no se me realizo el debito de mi prestamo,Cat_239
online banking verlo pagina querer generar clave poder,Cat_1
quiero regalar mis millas,Cat_273
me tenian que enviar la renovacion de una adicional y nunca llegue,Cat_293
convertir cliente,Cat_39
quiero hacer un reclamo sobre acciones,Cat_187
mi cuenta se encuentra habilitada para recibir transferencias desde el exterior,Cat_32
quiero consultar si se hizo el pago de la tarjeta,Cat_279
cuanto me va a salir aproximadamente la escribania,Cat_210
numero super linear,Cat_147
necesito recuperar mi clave fiscal,Cat_95
tardo llegar tarjeta credito sucursal,Cat_293
cual era la fecha del llamado a licitacion de bonos,Cat_156
sali beneficiado con un plan procrerar como sigo,Cat_223
comision cheque rechazar,Cat_96
costo del servicio por operar en red banelco,Cat_96
vi que en el resumen aparecen impuestos mal cobrados,Cat_122
queria saber el valor d as cuotas d un prestamo d number pesos a doc meses,Cat_251
por que no puedo hacer ninguna compra con tarjeta en el exterior,Cat_289
me parece que no entro el debito de la amex,Cat_346
manana me vence la tarjeta de ccredito y queria saber si tiene un segundo vencimiento,Cat_341
convenio entre santander rio y uai,Cat_359
volvi a supeclub que hago con mis millas,Cat_299
acabo de entrar en notificaciones y me dice que tengo chances en el sorteo sin embargo yo cobro mi sueldo por aca hay algun problema ao¬ √o¬°¬ i c ¬ ¬°¬ c ≈°¬ √= a ¬°¬ ¬π,Cat_143
para comprar un auto usado,Cat_228
hice un cambio de puntos pero necesito reversarlo,Cat_331
intento pagar open credit como hsgo para pagar,Cat_199
me siguen haciendo debitos directos no autorizados,Cat_112
me figura que no tengo limite disponible en la tarjeta,Cat_303
queria saber como puedo recuperar mi contrasena del cajero,Cat_288
se puede hacer una extracion en una sucursal donde no tengo cuenta,Cat_128
todavia estoy esperando que me llegue al domicilio la tarjeta,Cat_293
no tienden los telefonos de atencion al cliente,Cat_127
tengo cuenta sueldo y quiero acceder al descubierto del cajero y nose como,Cat_57
precio mensual de supercuenta,Cat_96
quiero una cuenta mejor,Cat_86
llaman banco santander deuda,Cat_193
me gustaria rescatar mis fondos de la cuenta custodia en usd,Cat_175
hay credito disponible en la american,Cat_303
le quiero modificar el limite a mi adicional,Cat_335
como hago para obtener la bonificacion de la renovacion de la tarjeta,Cat_73
en que me conviene invertir los dolares,Cat_178
quisiera obtener informacion prestamo personal,Cat_225
como elimino una cuenta en una sucursal que ya no utilizo,Cat_41
necesitar pagar debitar automatico litoral,Cat_129
una simulacion,Cat_251
como hacer una simulacion de cuotas,Cat_251
anoche hubo un tornado y destruyo mi casa quiero saber cuando haran las pruebas y me pagara el seguro,Cat_265
quiero efectuar stopdebit,Cat_353
mi tarjeta de debito expira este mes que hago,Cat_316
necesito informacion sobre desarrollo urbanistico grand bourg de salta,Cat_225
no se que problema hay que no puedo ver mis tenencias,Cat_67
quisiera pedir un credito de cuanto es la tasa,Cat_258
como hacer una simulacion de cuotas,Cat_251
necesito transferir dolares a estados unidos me gustaria que me digan que formulario debo llenar y los pasos a seguir,Cat_36
para reservar el estacionamiento en ezeiza,Cat_284
quiero adherir a debito automatico a edesur,Cat_132
como pago el vep una vez generado,Cat_132
pasos para blanquear tarjeta,Cat_288
quien fue el ultimo ganador,Cat_144
si saco un prestamos hipotecario de pesos cuantas uvas son,Cat_251
si soy jubilado puedo pedir una tarjeta para las promociones,Cat_337
pedi un plan de cuotas y ahora lo quiero volver atras,Cat_339
puedo elegir cuando quiero que venza la cuota del superprestamo prendario uvas,Cat_259
no soy cliente pero me interesa sacar un prestamo,Cat_248
sabes que no puedo ingresar a homebanking,Cat_117
quiero solicitar la reimpresion de debito,Cat_316
quiero saber si puedo tener prestamo personal,Cat_248
me sacaron los puntos,Cat_325
quiero retirar mi tarjeta en la sucursal,Cat_318
llene el formulario y cuando llegue a donde dice deslizar hacia la derecha no se puede deslizar,Cat_4
soy clieente y necesito consultar para comprar un terreno,Cat_228
cuales son los requisitos para el prestamo hipotecario procrear,Cat_248
el monto pre aprobado del prestamo hipotecario es menor a lo que necesito es posible solicitar un monto mayor,Cat_209
por que no me deja cambiar los puntos para ir a ver a,Cat_327
si hay mas de un ingreso la escritura y la hipoteca es aa nombre de esas dos personas o solo un titular de la cuenta,Cat_256
quiero denunciar una compra que no es mia,Cat_112
pagar sobregiro,Cat_56
opcion pagar tarjeta credito,Cat_192
figura resumen acciones,Cat_188
salir home banking,Cat_0
como se actualiza la cuota del prestamo hipotecario uvas,Cat_219
necesito saber como dar de baja el plan de proteccion de pagos rel dep de las tarjetas de credito,Cat_262
cupo tarjeta american express gold,Cat_303
que beneficios tiene la tarjeta,Cat_311
consumo conocido,Cat_112
como genero el debin por homebankin,Cat_54
tengo millas para canjear,Cat_275
donde puedo ver mas informacion sobre una compra de mi tarjeta cuenta,Cat_115
queria cobrar una licencia,Cat_37
assist card cubre robo de equipaje,Cat_282
cancelacion parcial o total del ccredito,Cat_246
me empezaron a realizar en mi cuenta sueldo un descuento por comision de cuenta sin que yo lo permita,Cat_90
el numero de cuenta de la tarjeta esta en online banking,Cat_344
aceptar contrato transferencia,Cat_79
una vez que elegi la casa cuanto tiempo tardan en darme el prestamo hipotecario,Cat_243
quiero usar la cuenta de inversiones pero no se como,Cat_169
estoy en el exterior no puedo llamar,Cat_29
tengo propiedad a mi nombre esto afecta a la hora de obtener un prestamo hipotecario,Cat_228
quiero anular el descubierto,Cat_57
platinum select suma los mismos puntos en superclub que el resto,Cat_323
quiero consultar los movimientos de mi tarjeta de credito,Cat_355
cambio de limite de tarjeta,Cat_302
en meses cuanto pagaria en,Cat_251
tarjeta caja entregar cuantos di¬=as,Cat_293
necesito sacar una cuenta nueva en el banco,Cat_39
que se necesita para acceder a un ccredito hipotecario,Cat_248
acceder a mi cuenta,Cat_3
cuenta virtual uniforme,Cat_42
quiero hacer el reclamo de mi extension de tarjeta que no llego,Cat_293
quiero consultar mis movimientos,Cat_50
como obtengo mi primera tarjeta credito,Cat_337
no me figura en la lista de servicos un vep que me generaron para abonar,Cat_129
baja de debito automatico de telecentro en la tarjeta de ccredito,Cat_292
que posibilidad tengo de acceder a un prestamo,Cat_248
puedo usar el prestamo hipotecario para hacer reformas,Cat_228
con quien hablo porque no me llegue el reintegro del iva,Cat_58
numero de telefono para consultas,Cat_147
en donde me tengo que adherir para los beneficios de esta tarjeta,Cat_311
pago tarjeta visa y amex,Cat_342
pagar debito error monto debitaron,Cat_112
quiero saber si ya puedo utilizar la tarjeta de ccredito visa y la pague el jueves de septiembre en y pague el monto total de usd,Cat_279
quiero solicitar una sala de una sucursal,Cat_70
a cuantos aanos pago el prestamo personal,Cat_242
tengo que ser apoderada de la cuenta del exterior para hacer una transferencia a esa cuenta,Cat_36
quisiera cambiar de seguro,Cat_268
por que me estan cobrando ingresos brutos,Cat_122
que es la targeta nova,Cat_306
reclamando pago tarjeta pague,Cat_193
quiero cambiar monto estraccion cajero,Cat_287
como puedo tener la tarjeta de credito,Cat_337
como blanqueo las claves,Cat_1
necesito saber porque no puedo sacar prestamos personales,Cat_197
quiero pagarle el sueldo a mis empleados con mi cuenta,Cat_69
necesito agregar una factura de fibertel a la tarjeta de credito,Cat_132
me mandaron una tarjeta que ya tengo,Cat_309
mis plasticos estan en la sucursal,Cat_293
quiero dar de baja la poliza de seguro,Cat_262
debito factura naturgy debitar,Cat_129
puedo cancelar el plazo fijo que tengo,Cat_182
hay datos que tenga que informar al exterior para que me hagan una transferencia,Cat_32
como ago para sacar el prestamo atraves de la app,Cat_223
poner servicio debitar automatico descontar,Cat_106
formulario tarjeta santander rio universidad,Cat_359
donde consulto mis comprobantes,Cat_98
queria avisar que manana pagare mi tarjeta visa,Cat_191
en caso de aprobacion del prestamo hipotecario de que manera tomo conocimiento,Cat_215
si el dia del debito no hay plata pero a los dos dias si se debitaba solo el prestamo,Cat_239
debitar servicio tarjeta,Cat_106
cuanto esta el papel de caputo hoy,Cat_168
donde se hace la denuncia de la tarjeta,Cat_294
quiero abrir banco debo,Cat_39
vencer debito automatico cable vision informar rechazar debito,Cat_129
saber pagar tarjeta envio facturar,Cat_342
queria recibir tarjeta,Cat_293
quiero dar aviso de pago de tarjeta,Cat_195
quiero saber si el seguro q tiene mi auto cuenta con seguro contra granizo,Cat_265
cancelar una cuenta desde el homebanking,Cat_41
cual es el monto del capital adeudado del prestamo,Cat_239
quiero solicitar un adelanto,Cat_57
por compra en el exterior con el banco,Cat_289
cometi una equivocacion al constituir un plazo fijo y lo quiero anular,Cat_182
saber porque salgo en veraz,Cat_64
no se cierra el programa y no puedo volver a entrar,Cat_0
no puedo realizar una compra con mi tarjeta de debito en mercado libre,Cat_290
cuales son los locales adheridos de marcas,Cat_311
si estoy en el veraz puedo acceder a un ccredito prendario,Cat_244
por favor necesitaria saber como cambiar el domicilio para recibir la tarjeta,Cat_103
puedo pagar el arreglo del televisor y despues mandar la factura al seguro,Cat_265
resumen,Cat_138
quiero cancelar una refinanciacion,Cat_192
quiero obtener mi clave y n de usuario pero los ultimos numeros de mi tarjeta no son los que me figuran en pantalla como hago,Cat_1
adheri metrogas a debito automatico hace dos meses no me debita el pago,Cat_129
requisito crear,Cat_39
quiero dar de bajas mis tarjetas de credito,Cat_338
como blanqueo la tarjeta desde la app santander,Cat_288
quiero saber por que no se debito la tarjeta de credito de mi cuenta,Cat_346
quisiera hacer una transferencia de dinero a otra entidad bancaria como podria hacer,Cat_84
cuanto serian las cuotas del hipotecario,Cat_219
transferi a otra cuenta por error,Cat_82
cuanto interes se suma por el pago atrasado de la tarjeta,Cat_349
querer saber deber tarjeta visa,Cat_342
cual es el valor de la comision por el retiro de dinero en el exterior,Cat_96
tengo que ir a la sucursal a retirar la chequera,Cat_45
hacer un pago,Cat_132
quiero pedir bonificacion de gasto de mantenimiento por antigi¬=¬=¬=¬=¬oedad,Cat_73
me podrian dar un ejemplo de cuota para un prestamo hipotecario,Cat_229
llamar exterior solucionar alguien telefono,Cat_147
querer pagar tarjeta naranja sistema,Cat_132
que es cip,Cat_288
cuando es la nueva apertura de licitaciones para letes,Cat_156
como recupero mi clave alfabetica,Cat_288
queria consultarte si el credito es solo para autos okm,Cat_228
quiero averiguar para sacar un credito prendario,Cat_225
porque no puedo crear mi clave para el hb,Cat_1
necesito cambiar mi tarjeta de dedito porque se despego y rompio la banda magnetica,Cat_316
cual es mi cuenta primaria,Cat_52
quiero cambiar la extension de retiro de efectivo por cajero,Cat_287
actualizacion de datos desde online,Cat_125
cuanto hay que esperar para que me desbloqueen la cuenta titulo,Cat_170
banco salir,Cat_39
quiero pagar la tarjeta,Cat_342
me pueden ayudar para dar de baja unos seguros que no quiero pagar mas,Cat_262
clave resumen por mail,Cat_138
vencio el plastico,Cat_316
no me llego tarjeta y me voy de viaje,Cat_293
estoy comprando un pasaje por despegar en avion y me dice tarjeta excluida de la promocion,Cat_311
quiero saber si tengo una cuenta abierta en el banco de mi nuevo trabajo,Cat_61
que tipo de seguro es,Cat_271
ingresar pedir cambiar contrasena,Cat_1
queria saber si hoy esta abierto al publico,Cat_114
quiero saber como puedo anular el pago automatico de mi tarjeta de credito,Cat_345
cambiar clave,Cat_1
necesito informacion sobre los debitos automaticos de los impuestos,Cat_106
cuanto sale cuenta,Cat_96
me debitaron veces el pago de personal,Cat_129
si no tengo plata en mi cuenta como debitaran la cuota del prestamo hipotecario,Cat_240
necesitar pagar minimo saldo abonar tarjeta credito,Cat_342
queria hacerte una consulta respecto de un prestamo uva,Cat_225
yo estoy debiendo la tarjeta quiero ver si tengo algun plan de pago,Cat_308
quisiera sacar en prestamo,Cat_223
necesito para renovar mi casa,Cat_228
quiero sacar una tarjeta de credito,Cat_337
me sale error al querer pagar mi cuenta de spotify con la santander rio debito,Cat_290
telefono american express consultar,Cat_147
necesitar decir corresponder debito tarjeta visa empresa,Cat_115
alguna sucursal cercana al hospital argerich,Cat_91
como dar de alta la tarjeta visa internacional,Cat_337
cargar datos de una denuncia de seguro,Cat_265
como sacar prestamos online,Cat_223
quiero registrarme en la lista no llame,Cat_136
no solicite este seguro de vivienda,Cat_264
cuales son las tarjetas que suman millas,Cat_274
cambiaron la sucursal donde tengo mi cuenta sin avisarme,Cat_74
numero para informar siniestros,Cat_265
me gustari¬=a pagar la aduana,Cat_132
se pueden sacar entradas de preventa sin ser select,Cat_311
como se si una orden de compra se hizo bien,Cat_167
necesito la baja del credito procrear,Cat_227
quiero saber que significa uva,Cat_108
importe de mantenimiento,Cat_96
me robaron un celular hice la denuncia al seguro y jamas me mandaron nada,Cat_270
para sacar una cuenta estudiante cuanto sale en cuanto tiempo me dan la cuenta necesito una cuenta rapido para que la universidad me haga un deposito,Cat_359
si para saber si estoy al dia con la cuota del ccredito,Cat_239
cobrar tarjeta debitaronon realizar,Cat_112
como se procede para invertir dolares que tengo,Cat_178
que dia me tienen que descontar lo de la tarjeta de credito visa,Cat_341
en la app se puede sacar numero por adelantado para no hacer cola en el banco,Cat_148
quiero discutir sobre consumos dudosos de mis tarjetas de credito visa,Cat_112
cual es la edad maxima del solicitante del prestamo,Cat_248
hoy licitan las lebac pero cuando entro a homebanking no me figura nada,Cat_160
no se que clave poner en el cajero por primera vez,Cat_288
en que momento puedo hacer un stop loss,Cat_189
ampliar limitar retirar cajero,Cat_287
prestamo prendario auto usado,Cat_228
me explicas como es el tema para cobrar los dolares divisas,Cat_165
tarjeta visa bloquear necesitaria desbloquear necesitar operacion,Cat_286
como hago un plazo fijo,Cat_181
saber saldo abonar tarjeta credito,Cat_342
quiero aumentar el limite de la tarjeta,Cat_302
donde puedo consultar mis puntos,Cat_325
como puedo hacer la solicitud de rescate de mi tarjeta a la sucursal donde abri mi cuenta,Cat_318
quierodar de baja debitos automaticos de mi tarjeta,Cat_292
algun cargo adicional transferencia internacional,Cat_31
quiero pagar un vep,Cat_132
ya cobro en el banco mi sueldo como puedo participar del sorteo,Cat_143
queria que me reintegroan un pago de mi tarjeta american expres dado que se duplico el mismo pago,Cat_350
s ya tengo terreno puedo solicitar un prestamo hipotecario,Cat_228
adquerir tarjeta,Cat_337
necesito abrir la ultima liquidacion,Cat_138
bajo caja ahorrar figurar nombrar banco,Cat_41
me gustaria informacion sobre cajas de seguridad,Cat_92
yo tengo seguro y quiero darlo de baja,Cat_262
realizar blanqueo de pin,Cat_288
solicite dentro de los beneficios que me ofrecieron si podian hacer una bonificacion en el costo de mantenimiento de la cuenta platinun y y en menor medida otra infinity,Cat_73
figura saldo negativo corriente pagarlo,Cat_56
generar clave personal,Cat_1
para sacar un prestamo tengo que tener cuenta si o si en el banco,Cat_248
abrir una cuenta sin recibo de sueldo,Cat_39
cual es el valor actual de la uva,Cat_108
donde consulto mi resumen mastercard,Cat_138
el banco tiene para acreditarme dolares que me mandaron del exterior y aun no estan en mi cuenta que problema hay,Cat_33
lo complete pero no me permite donde esta la flecha que hay que correr a la derecha,Cat_4
renovacion de credencial universitaria,Cat_316
me olvide mi usuario,Cat_1
condiciones de credito personal o prendario para compra de auto,Cat_225
como hago para que corrijan el domicilio de envio de tarjetas,Cat_103
como acceder a un prestamo,Cat_223
contame del programa aadvantage,Cat_277
quiero juntar las dos cuentas que tengo con advantage,Cat_278
como seria el prestamo prendario,Cat_225
necesitar pagar factura gas,Cat_132
opcion cambiar usuario,Cat_1
telefonos del banco,Cat_147
quiero consultarte por el limite de la tarjeta,Cat_303
al descuento sorpresa en sommmier center se le puede sumar el canje de puntos superclub,Cat_311
cosas nuevas que yo vaya comprando las tengo que declarar al seguro,Cat_265
quiero arreglar la deuda con mi tarjeta de credito,Cat_192
puedo hipotecar una vivienda prefabricada,Cat_214
cual es el banco santander rio mas cercano,Cat_91
el alias y el cbu se pueden usar indistintamente,Cat_42
realice el pago por homebanking,Cat_195
quisiera saber sobre un prestamo personal,Cat_225
quiero cerrar mi cuenta,Cat_41
sacar de mi americam tarjeta el resumen de pago,Cat_138
como es el cuadro de cuotas de un hipotecario,Cat_229
se puede presentar dos recibos de sueldos para las cuotas de un prestamo personal,Cat_254
queria solicitar una cuenta que requisitos nesecito,Cat_39
no me depositaron la jubilacion,Cat_37
el cer varia con la inflacion,Cat_107
me podrias decir si aysa se encuentre asociada a debito automatico,Cat_93
prestamo maximo,Cat_236
donde queda la casa matriz,Cat_91
no anda la pagina para crear la clave,Cat_117
necesito tarjeta de debito pero no tengo recibo de sueldo,Cat_39
quiero averiguar debito automatico,Cat_87
donde veo el saldo de mi cuenta titulo,Cat_188
el cajero me trago plata,Cat_297
condiciones para otorgamiento de credito personal,Cat_225
cuanto tengo que tener de sueldo para sacar un prestamo de una propiedad,Cat_249
de cuanto dinero puede llegar a ser el crtedito,Cat_236
mi tarjeta de credito esta vencida y nunca me la renovaron,Cat_316
solicitud de baja de cuenta sueldos,Cat_41
realice una compra y el comercio facturo mas de lo valia el producto,Cat_112
me llega el resumen de la tarjeta por email y me pide una contrasena para poder descargar pdf,Cat_138
hoy recibi una llamada de santander como puedo verificar que eran uds,Cat_146
no me carga la web de santander,Cat_117
no puedo bajar el truster,Cat_6
queria saber si la cuenta estaba habiliatada para hacer extracion d adelanto d sueldo,Cat_57
quiero guardar mi plata en el banco que tengo que hacer,Cat_39
bajo producto banco,Cat_41
que sistemas de amortizacion hay,Cat_252
quiero saber porque no m llega el resumen d mi tarjeta,Cat_138
como hago para elegir otra cuenta como primaria,Cat_52
cayo un rayo y se apagaron el led y la play station y no volvieron a encender como procedo con el reclamo,Cat_265
puedo girar dinero de mi cuenta a espana,Cat_36
queria saber si la tarjeta priority pass lleva alguna costo,Cat_284
habilitar tarjeta de ccredito para viaje al exterior,Cat_304
quisiera saber si se puede anular un pago que realice con la tarjeta de debito,Cat_281
hice un rescate parcial y el saldo restante que me figura en el fondo es incorrecto,Cat_172
el prestamo hipotecario es en dolares o pesos,Cat_225
certificar firma,Cat_94
debito santander pago comprar superior,Cat_303
