Pregunta,Intencion,Pregunta_T1,clean_txt,clean_txt_T1
quisiera ver mi factura de la visa,Cat_138,Me gustaría ver mi factura de visa,quisiera ver mi factura de la visa,me gustaria ver mi factura de visa
quiero averiguar para hacer un plazo fijo o algún fondo de inversión,Cat_178,Quiero averiguar para hacer un plazo fijo o algún fondo de inversión,quiero averiguar para hacer un plazo fijo o algun fondo de inversion,quiero averiguar para hacer un plazo fijo o algun fondo de inversion
soy cliente y fui seleccionado por procrear para pedir un préstamo hipotecario que debo hacer?,Cat_223,"Soy cliente y fui seleccionado para solicitar un préstamo hipotecario, ¿qué debo hacer?",soy cliente y fui seleccionado por procrear para pedir un prestamo hipotecario que debo hacer,soy cliente y fui seleccionado para solicitar un prestamo hipotecario que debo hacer
como se hace una transferencia al exterior?,Cat_36,¿Cómo se realiza una transferencia al extranjero?,como se hace una transferencia al exterior,como se realiza una transferencia al extranjero
mi pregunta es si el descuento se refleja en el resumen d la tarjeta o solo era para compras en locales?,Cat_311,mi pregunta es si el descuento se refleja en el resumen de la tarjeta o fue solo para compras en tiendas?,mi pregunta es si el descuento se refleja en el resumen d la tarjeta o solo era para compras en locales,mi pregunta es si el descuento se refleja en el resumen de la tarjeta o fue solo para compras en tiendas
tengo que cambiar el día que arreglé con el cartero,Cat_317,Tengo que cambiar el día que arreglé con el cartero,tengo que cambiar el dia que arregle con el cartero,tengo que cambiar el dia que arregle con el cartero
quisiera saver cuando me reintegran el limite de compra de la tarjeta?,Cat_314,¿Me gustaría saber cuándo se me devolverá el límite de compra de la tarjeta?,quisiera saver cuando me reintegran el limite de compra de la tarjeta,me gustaria saber cuando se me devolvera el limite de compra de la tarjeta
quiero ver los puntos superclub,Cat_325,Quiero ver los puntos del super club,quiero ver los puntos superclub,quiero ver los puntos del super club
donde puedo seguir un fondo que ya tengo,Cat_174,¿Dónde puedo seguir un fondo que ya tengo,donde puedo seguir un fondo que ya tengo,donde puedo seguir un fondo que ya tengo
como puedo sacar el resumen de tarjeta santander  visa,Cat_138,¿Cómo puedo obtener el resumen de la tarjeta de visa santander?,como puedo sacar el resumen de tarjeta santander visa,como puedo obtener el resumen de la tarjeta de visa santander
encuentro intereses pago fecha,Cat_349,encontrar la fecha de pago de intereses,encuentro intereses pago fecha,encontrar la fecha de pago de intereses
necesito bajar el programa de seguridad bancaria,Cat_6,Necesito descargar el programa de seguridad bancaria,necesito bajar el programa de seguridad bancaria,necesito descargar el programa de seguridad bancaria
pague un restorant y no me devolvieron el descuento,Cat_312,Pagué por un restaurante y no me devolvieron el descuento,pague un restorant y no me devolvieron el descuento,pague por un restaurante y no me devolvieron el descuento
necesito realizar una transferencia de fondos a mi cuenta desde el exterior cuales son los pasos a seguir?,Cat_32,Necesito hacer una transferencia de fondos a mi cuenta desde el extranjero. ¿Cuáles son los pasos a seguir?,necesito realizar una transferencia de fondos a mi cuenta desde el exterior cuales son los pasos a seguir,necesito hacer una transferencia de fondos a mi cuenta desde el extranjero cuales son los pasos a seguir
en que momento debo pagar la primera cuota del préstamo hipotecario?,Cat_259,¿Cuándo debo pagar la primera cuota del préstamo hipotecario?,en que momento debo pagar la primera cuota del prestamo hipotecario,cuando debo pagar la primera cuota del prestamo hipotecario
obtener resumen,Cat_138,obtener resumen,obtener resumen,obtener resumen
en que lugar puedo ver la vep que me remitio correo argentino,Cat_132,¿Dónde puedo ver el mensaje que me envió el correo argentino?,en que lugar puedo ver la vep que me remitio correo argentino,donde puedo ver el mensaje que me envio el correo argentino
necesito cotizar acciones,Cat_151,Necesito cotizar acciones,necesito cotizar acciones,necesito cotizar acciones
cajero inhabilitar tarjeta,Cat_286,tarjeta de desactivación del cajero,cajero inhabilitar tarjeta,tarjeta de desactivacion del cajero
cómo tengo que hacer para cobrar el seguro por el robo de cartera?,Cat_265,¿Cómo debo hacer para cobrar un seguro por robo de cartera?,como tengo que hacer para cobrar el seguro por el robo de cartera,como debo hacer para cobrar un seguro por robo de cartera
promociones de restaurant en mar del plata,Cat_311,promociones de restaurantes en mar del plata,promociones de restaurant en mar del plata,promociones de restaurantes en mar del plata
como se si mi tarjeta de credito tiene fondos,Cat_303,¿Cómo sé si mi tarjeta de crédito tiene fondos?,como se si mi tarjeta de credito tiene fondos,como se si mi tarjeta de credito tiene fondos
quisiera subir mi curriculum,Cat_102,Me gustaría subir mi currículum,quisiera subir mi curriculum,me gustaria subir mi curriculum
quiero dar de baja las promociones que recibo en mi correo,Cat_136,Quiero cancelar las promociones que recibo en mi correo electrónico,quiero dar de baja las promociones que recibo en mi correo,quiero cancelar las promociones que recibo en mi correo electronico
saber.si puedo sacar un creditio,Cat_248,saber si puedo obtener un crédito,saber si puedo sacar un creditio,saber si puedo obtener un credito
no puedo retirar dinero del cajero,Cat_286,No puedo retirar dinero del cajero automático,no puedo retirar dinero del cajero,no puedo retirar dinero del cajero automatico
un cheque rechazado lo tiene que retirar solo el titular,Cat_47,un cheque rechazado debe ser retirado solo por el titular,un cheque rechazado lo tiene que retirar solo el titular,un cheque rechazado debe ser retirado solo por el titular
queria saber si podía comprar euros,Cat_166,Quería saber si podía comprar euros.,queria saber si podia comprar euros,queria saber si podia comprar euros
necesito pedir una copia de mi póliza de seguro,Cat_266,Necesito solicitar una copia de mi póliza de seguro,necesito pedir una copia de mi poliza de seguro,necesito solicitar una copia de mi poliza de seguro
cuándo vencen (aplica para todos los bonos),Cat_158,cuando caducan (se aplica a todos los bonos),cuando vencen aplica para todos los bonos,cuando caducan se aplica a todos los bonos
necesitaba ayuda porque voy a ingresar por primera vez a la app,Cat_3,Necesitaba ayuda porque voy a ingresar a la aplicación por primera vez,necesitaba ayuda porque voy a ingresar por primera vez a la app,necesitaba ayuda porque voy a ingresar a la aplicacion por primera vez
me robaron y me dijeron que me pagaban pero no tengo novedades,Cat_270,me robaron y me dijeron que me pagaron pero no tengo noticias,me robaron y me dijeron que me pagaban pero no tengo novedades,me robaron y me dijeron que me pagaron pero no tengo noticias
me podrían informar si sigue el descuento en combustible los días domingos?,Cat_311,¿Podría decirme si el descuento de combustible continúa los domingos?,me podrian informar si sigue el descuento en combustible los dias domingos,podria decirme si el descuento de combustible continua los domingos
queria saber cuanto se cobra por el mantenimiento de la tarjeta y cuanto son los impuestos,Cat_340,Quería saber cuánto se cobra por el mantenimiento de la tarjeta y cuánto son los impuestos,queria saber cuanto se cobra por el mantenimiento de la tarjeta y cuanto son los impuestos,queria saber cuanto se cobra por el mantenimiento de la tarjeta y cuanto son los impuestos
si sumo ingresos también tiene que ir personalmente a la sucursal para tramitar el préstamo hipotecario?,Cat_212,"Si agrego ingresos, ¿también tiene que ir personalmente a la sucursal para procesar el préstamo hipotecario?",si sumo ingresos tambien tiene que ir personalmente a la sucursal para tramitar el prestamo hipotecario,si agrego ingresos tambien tiene que ir personalmente a la sucursal para procesar el prestamo hipotecario
tarjeta quiero regularizar deuda,Cat_192,tarjeta quiero regularizar la deuda,tarjeta quiero regularizar deuda,tarjeta quiero regularizar la deuda
recibí en casa una tarjeta de credito del banco de ustedes habilitada a mi nombre no la he solicitado no tengo cuenta con ustedes ni nada por el estilo,Cat_310,"Recibí en casa una tarjeta de crédito de su banco autorizado a mi nombre, no lo he solicitado, no tengo una cuenta con usted ni nada de eso",recibi en casa una tarjeta de credito del banco de ustedes habilitada a mi nombre no la he solicitado no tengo cuenta con ustedes ni nada por el estilo,recibi en casa una tarjeta de credito de su banco autorizado a mi nombre no lo he solicitado no tengo una cuenta con usted ni nada de eso
existe una pagina online para solicitar un prestamo hipotecario?,Cat_223,¿Hay una página en línea para solicitar un préstamo hipotecario?,existe una pagina online para solicitar un prestamo hipotecario,hay una pagina en linea para solicitar un prestamo hipotecario
tengo que hacer un pago por home banking pero no lo logro realizar,Cat_129,"Tengo que hacer un pago mediante la banca en casa, pero no puedo hacerlo.",tengo que hacer un pago por home banking pero no lo logro realizar,tengo que hacer un pago mediante la banca en casa pero no puedo hacerlo
crear clave banelco,Cat_288,crear clave de banelco,crear clave banelco,crear clave de banelco
me olvidé la contraseña,Cat_1,olvidé la contraseña,me olvide la contrasena,olvide la contrasena
pedir tarjeta women,Cat_357,pedir tarjeta de mujer,pedir tarjeta women,pedir tarjeta de mujer
no tiene home banking,Cat_3,no tiene banca en casa,no tiene home banking,no tiene banca en casa
perdida de cheque,Cat_48,cheque perdido,perdida de cheque,cheque perdido
reservar salas de reuniones en chaco,Cat_70,reservar salas de reuniones en chaco,reservar salas de reuniones en chaco,reservar salas de reuniones en chaco
que paquetes bancarios me puede ofrecer,Cat_39,¿Qué paquetes bancarios me pueden ofrecer?,que paquetes bancarios me puede ofrecer,que paquetes bancarios me pueden ofrecer
quiero transferir de mi cuenta corriente a mi cuenta de ahorro,Cat_85,Quiero transferir de mi cuenta corriente a mi cuenta de ahorros,quiero transferir de mi cuenta corriente a mi cuenta de ahorro,quiero transferir de mi cuenta corriente a mi cuenta de ahorros
pagar tarjeta cuenta otro banco,Cat_342,cuenta de tarjeta de pago otro banco,pagar tarjeta cuenta otro banco,cuenta de tarjeta de pago otro banco
no haber disponible tarjeta,Cat_303,no hay tarjeta disponible,no haber disponible tarjeta,no hay tarjeta disponible
me avisaron que tenía las tarjetas en camino pero no voy a poder recibirlas.,Cat_318,Me dijeron que tenía las tarjetas en camino pero que no podré recibirlas.,me avisaron que tenia las tarjetas en camino pero no voy a poder recibirlas,me dijeron que tenia las tarjetas en camino pero que no podre recibirlas
quiero averiguar sobre la habilitación de tarjetas.,Cat_301,Quiero saber sobre la habilitación de la tarjeta.,quiero averiguar sobre la habilitacion de tarjetas,quiero saber sobre la habilitacion de la tarjeta
puedo hacer una cancelacion parcial?,Cat_246,¿Puedo hacer una cancelación parcial?,puedo hacer una cancelacion parcial,puedo hacer una cancelacion parcial
sacaron plata de mi cuenta y nadie tiene mi tarjeta de debito,Cat_112,el dinero fue tomado de mi cuenta y nadie tiene mi tarjeta de débito,sacaron plata de mi cuenta y nadie tiene mi tarjeta de debito,el dinero fue tomado de mi cuenta y nadie tiene mi tarjeta de debito
quisiera info sobre la tarjeta woman visa,Cat_357,Quisiera información sobre la tarjeta de visa mujer,quisiera info sobre la tarjeta woman visa,quisiera informacion sobre la tarjeta de visa mujer
seguimiento tarjeta,Cat_293,tarjeta de seguimiento,seguimiento tarjeta,tarjeta de seguimiento
comision tarjeta,Cat_96,tarjeta de comisión,comision tarjeta,tarjeta de comision
deber abonar resumen,Cat_342,debe pagar resumen,deber abonar resumen,debe pagar resumen
como pongo en debito automatico el monotributo?,Cat_132,¿Cómo cargo el monotax automáticamente?,como pongo en debito automatico el monotributo,como cargo el monotax automaticamente
quisiera invertir en algo seguro y con buena rentabilidad,Cat_178,Me gustaría invertir en algo seguro y con buena rentabilidad.,quisiera invertir en algo seguro y con buena rentabilidad,me gustaria invertir en algo seguro y con buena rentabilidad
tarjeta debito nunca llegar salio,Cat_293,tarjeta de débito nunca salió,tarjeta debito nunca llegar salio,tarjeta de debito nunca salio
que costo tiene la extración en otros cajeros,Cat_96,¿Cuál es el costo del retiro en otros cajeros automáticos?,que costo tiene la extracion en otros cajeros,cual es el costo del retiro en otros cajeros automaticos
deposite el cheque y la fecha ya estaba vencida,Cat_43,depositar el cheque y la fecha ya venció,deposite el cheque y la fecha ya estaba vencida,depositar el cheque y la fecha ya vencio
imprimir el resumen online de mi tarjeta,Cat_138,imprimir el resumen en línea de mi tarjeta,imprimir el resumen online de mi tarjeta,imprimir el resumen en linea de mi tarjeta
no logro cargar como pago nuevo uno que a pesar de que siempre esta cargado en la agenda  no aparece esta vez,Cat_130,"No puedo cargar como nuevo pago uno que, aunque siempre está cargado en la agenda, no aparece esta vez",no logro cargar como pago nuevo uno que a pesar de que siempre esta cargado en la agenda no aparece esta vez,no puedo cargar como nuevo pago uno que aunque siempre esta cargado en la agenda no aparece esta vez
infinity gold chequera,Cat_39,talonario de oro infinito,infinity gold chequera,talonario de oro infinito
aumentar extraccion dinero,Cat_287,aumentar la extracción de dinero,aumentar extraccion dinero,aumentar la extraccion de dinero
como puedo averiguar cuál es mi ejecutivo de cuenta actual?,Cat_126,¿Cómo puedo averiguar cuál es mi ejecutivo de cuenta corriente?,como puedo averiguar cual es mi ejecutivo de cuenta actual,como puedo averiguar cual es mi ejecutivo de cuenta corriente
no veo las entradas para canjear puedo canjear en un centro de canjes?,Cat_327,"No veo los boletos para canjear, ¿puedo canjear en un centro de canje?",no veo las entradas para canjear puedo canjear en un centro de canjes,no veo los boletos para canjear puedo canjear en un centro de canje
solicitar tarjeta credito,Cat_337,solicitar tarjeta de crédito,solicitar tarjeta credito,solicitar tarjeta de credito
quisiera saber los pasos a seguir para pedir una nueva tarjeta,Cat_316,Me gustaría saber los pasos a seguir para solicitar una nueva tarjeta,quisiera saber los pasos a seguir para pedir una nueva tarjeta,me gustaria saber los pasos a seguir para solicitar una nueva tarjeta
como hago para poder desbloquear la clave alfabética para poder sacar plata del cajero,Cat_288,¿Cómo puedo desbloquear la clave alfabética para retirar dinero del cajero automático?,como hago para poder desbloquear la clave alfabetica para poder sacar plata del cajero,como puedo desbloquear la clave alfabetica para retirar dinero del cajero automatico
como doy de baja mi cuenta caja de ahorro universitaria en santander rio??,Cat_41,¿Cómo cancelo mi cuenta de caja de ahorro en Santander Rio?,como doy de baja mi cuenta caja de ahorro universitaria en santander rio,como cancelo mi cuenta de caja de ahorro en santander rio
necesito un préstamo de soy empleado privado,Cat_223,Necesito un préstamo de soy un empleado privado,necesito un prestamo de soy empleado privado,necesito un prestamo de soy un empleado privado
los fondos comunes de inversion estan teniendo tope para el rescate??,Cat_172,Los fondos mutuos están limitados para el rescate?,los fondos comunes de inversion estan teniendo tope para el rescate,los fondos mutuos estan limitados para el rescate
me figura un seguro que no contraté.,Cat_264,Tengo un seguro que no contraté.,me figura un seguro que no contrate,tengo un seguro que no contrate
necesito comunicarme comerciar exterior,Cat_147,Necesito comunicarme para comerciar en el extranjero,necesito comunicarme comerciar exterior,necesito comunicarme para comerciar en el extranjero
puedo comprar una propiedad en el exterior a traves de prestamo hipotecario?,Cat_211,¿Puedo comprar una propiedad en el extranjero a través de un préstamo hipotecario?,puedo comprar una propiedad en el exterior a traves de prestamo hipotecario,puedo comprar una propiedad en el extranjero a traves de un prestamo hipotecario
tenía unas acciones de carboclor y queria suscribir los cupones,Cat_151,Tenía acciones de carbocloro y quería suscribir los cupones,tenia unas acciones de carboclor y queria suscribir los cupones,tenia acciones de carbocloro y queria suscribir los cupones
como hay que hacer para obtener el credito,Cat_223,cómo hacer para obtener el crédito,como hay que hacer para obtener el credito,como hacer para obtener el credito
acabar pagar servicio home banking error cancelar,Cat_129,terminar de pagar el error del servicio de banca a domicilio cancelar,acabar pagar servicio home banking error cancelar,terminar de pagar el error del servicio de banca a domicilio cancelar
donde busco el certificado de seguro al viajero,Cat_282,donde busco el certificado de seguro de viaje,donde busco el certificado de seguro al viajero,donde busco el certificado de seguro de viaje
cuál es el costo de la cuenta,Cat_96,cual es el costo de la cuenta,cual es el costo de la cuenta,cual es el costo de la cuenta
se pueden comprar lebacs con la app?,Cat_157,¿Puedes comprar lebacs con la aplicación?,se pueden comprar lebacs con la app,puedes comprar lebacs con la aplicacion
queria saber si podia sacar un préstamo ya que cuento con una re financiación de una deuda,Cat_248,Quería saber si podría obtener un préstamo ya que tengo un financiamiento de deuda,queria saber si podia sacar un prestamo ya que cuento con una re financiacion de una deuda,queria saber si podria obtener un prestamo ya que tengo un financiamiento de deuda
no te toma ningun nombre de usuario,Cat_1,no toma ningún nombre de usuario,no te toma ningun nombre de usuario,no toma ningun nombre de usuario
como es el sistema uvas?,Cat_108,¿Cómo es el sistema de uva?,como es el sistema uvas,como es el sistema de uva
donde pido autorización para una compra de,Cat_283,donde solicito autorización para una compra de,donde pido autorizacion para una compra de,donde solicito autorizacion para una compra de
en que lugar debe realizarse la escritura?,Cat_207,¿Dónde debe llevarse a cabo la escritura?,en que lugar debe realizarse la escritura,donde debe llevarse a cabo la escritura
quiero trabajar en santander rio,Cat_102,Quiero trabajar en Santander Rio,quiero trabajar en santander rio,quiero trabajar en santander rio
no puedo cambiar mi domicilio,Cat_103,No puedo cambiar mi direccion,no puedo cambiar mi domicilio,no puedo cambiar mi direccion
como uso la cobertura medica asociada a la tarjeta,Cat_282,¿Cómo uso la cobertura médica asociada con la tarjeta?,como uso la cobertura medica asociada a la tarjeta,como uso la cobertura medica asociada con la tarjeta
cambiar clave y nombre usuario,Cat_1,cambiar contraseña y nombre de usuario,cambiar clave y nombre usuario,cambiar contrasena y nombre de usuario
quiero saber que importe de cuota abonaría por un credito,Cat_251,Quiero saber qué cantidad de la cuota pagaría por un crédito,quiero saber que importe de cuota abonaria por un credito,quiero saber que cantidad de la cuota pagaria por un credito
me desapareció de la cuenta dinero con una extración que no realicé,Cat_112,el dinero desapareció de la cuenta con una extracción que no hice,me desaparecio de la cuenta dinero con una extracion que no realice,el dinero desaparecio de la cuenta con una extraccion que no hice
necesito comprar unas acciones y quiero saber el precio de las comisiones,Cat_96,Necesito comprar algunas acciones y quiero saber el precio de las comisiones.,necesito comprar unas acciones y quiero saber el precio de las comisiones,necesito comprar algunas acciones y quiero saber el precio de las comisiones
un telefono para hablar con una persona,Cat_147,un teléfono para hablar con una persona,un telefono para hablar con una persona,un telefono para hablar con una persona
puedo chatear con un agente?,Cat_29,¿Puedo chatear con un agente?,puedo chatear con un agente,puedo chatear con un agente
cuándo me depositan los dividendos?,Cat_152,¿Cuándo pago los dividendos?,cuando me depositan los dividendos,cuando pago los dividendos
el premio que canjeé por superclub no es ni parecido a lo que estaba en la foto y quiero que me devuelvan los puntos.,Cat_329,el premio que canjeé por el superclub ni siquiera se parece a lo que estaba en la foto y quiero que me devuelvan los puntos.,el premio que canjee por superclub no es ni parecido a lo que estaba en la foto y quiero que me devuelvan los puntos,el premio que canjee por el superclub ni siquiera se parece a lo que estaba en la foto y quiero que me devuelvan los puntos
como hago para poner el stop debit en la luz?,Cat_145,¿Cómo puedo poner el débito de parada en la luz?,como hago para poner el stop debit en la luz,como puedo poner el debito de parada en la luz
quisiera acceder al simulador de prestamos.,Cat_251,Me gustaría acceder al simulador de préstamos.,quisiera acceder al simulador de prestamos,me gustaria acceder al simulador de prestamos
me podras decir quien es mi oficial a cargo?,Cat_126,¿Me puede decir quién es mi oficial a cargo?,me podras decir quien es mi oficial a cargo,me puede decir quien es mi oficial a cargo
estoy disconforme con el servicio,Cat_133,Estoy descontento con el servicio,estoy disconforme con el servicio,estoy descontento con el servicio
tu edad,Cat_17,tu edad,tu edad,tu edad
por reclamo de un doble pago de tarjeta  la cual ya estaba debitado,Cat_350,por reclamar un pago con doble tarjeta que ya ha sido cargado,por reclamo de un doble pago de tarjeta la cual ya estaba debitado,por reclamar un pago con doble tarjeta que ya ha sido cargado
despósitos desde el exterior,Cat_32,depósitos desde el exterior,despositos desde el exterior,depositos desde el exterior
estan los supermiercoles?,Cat_311,¿Estás en súper miércoles?,estan los supermiercoles,estas en super miercoles
hoy poder pagar tarjeta credito,Cat_342,hoy para poder pagar con tarjeta de crédito,hoy poder pagar tarjeta credito,hoy para poder pagar con tarjeta de credito
no quiero recibir mi resumende cuenta en papel,Cat_138,No quiero recibir mi resumen de cuenta en papel,no quiero recibir mi resumende cuenta en papel,no quiero recibir mi resumen de cuenta en papel
que cuentas puede crear un extranjero,Cat_39,¿Qué cuentas puede crear un extranjero?,que cuentas puede crear un extranjero,que cuentas puede crear un extranjero
cómo hago para solicitar la baja de mi cuenta?,Cat_41,¿Cómo puedo solicitar darme de baja de mi cuenta?,como hago para solicitar la baja de mi cuenta,como puedo solicitar darme de baja de mi cuenta
es necesario suscribirse para recibir los beneficios women?,Cat_357,¿Debo suscribirme para recibir los beneficios de las mujeres?,es necesario suscribirse para recibir los beneficios women,debo suscribirme para recibir los beneficios de las mujeres
como hago para acceder a mi resumen si no tengo tarjeta de debito?,Cat_138,¿Cómo puedo acceder a mi resumen si no tengo una tarjeta de débito?,como hago para acceder a mi resumen si no tengo tarjeta de debito,como puedo acceder a mi resumen si no tengo una tarjeta de debito
quiero pagar un hotel en dolares y no puedo,Cat_283,Quiero pagar un hotel en dólares y no puedo,quiero pagar un hotel en dolares y no puedo,quiero pagar un hotel en dolares y no puedo
tengo otros ingresos. los puedo sumar a la hipoteca?,Cat_254,Tengo otros ingresos ¿Puedo agregarlos a la hipoteca?,tengo otros ingresos los puedo sumar a la hipoteca,tengo otros ingresos puedo agregarlos a la hipoteca
quiero ver mi resumen de tarjeta visa por favor,Cat_138,Quiero ver el resumen de mi tarjeta de visa por favor,quiero ver mi resumen de tarjeta visa por favor,quiero ver el resumen de mi tarjeta de visa por favor
queria saber si pasa algo en la pagina oficial de banco porque hace horas que no puedo entrar,Cat_117,Quería saber si algo sucede en la página oficial del banco porque no he podido ingresar durante horas,queria saber si pasa algo en la pagina oficial de banco porque hace horas que no puedo entrar,queria saber si algo sucede en la pagina oficial del banco porque no he podido ingresar durante horas
hace rato intento entrar a la web y no puedo,Cat_117,Traté de ingresar a la web por un tiempo y no puedo,hace rato intento entrar a la web y no puedo,trate de ingresar a la web por un tiempo y no puedo
queria saber si las adicionales son gratis,Cat_334,Quería saber si los adicionales son gratis,queria saber si las adicionales son gratis,queria saber si los adicionales son gratis
donde puedo informarme acerca del vencimiento de la proxima cuota del prestamo hipotecario?,Cat_239,¿Dónde puedo encontrar información sobre el vencimiento de la próxima cuota del préstamo hipotecario?,donde puedo informarme acerca del vencimiento de la proxima cuota del prestamo hipotecario,donde puedo encontrar informacion sobre el vencimiento de la proxima cuota del prestamo hipotecario
no puedo ingresar a mi casa  donde llamo? que hago?,Cat_265,¿No puedo entrar a mi casa donde llamo? ¿lo que hago?,no puedo ingresar a mi casa donde llamo que hago,no puedo entrar a mi casa donde llamo lo que hago
clave santander generar,Cat_1,clave santander generar,clave santander generar,clave santander generar
si mi pregunta es como es q se carga la tarjeta redbus,Cat_132,si mi pregunta es cómo se carga la tarjeta redbus,si mi pregunta es como es q se carga la tarjeta redbus,si mi pregunta es como se carga la tarjeta redbus
me estan descobtando de la cuenta de un seguro que no recuerdo de que es ?,Cat_264,¿Me están deduciendo de una cuenta de seguro que no recuerdo qué es?,me estan descobtando de la cuenta de un seguro que no recuerdo de que es,me estan deduciendo de una cuenta de seguro que no recuerdo que es
querer saber soy cliente,Cat_61,quiero saber que soy un cliente,querer saber soy cliente,quiero saber que soy un cliente
alguien me podria decir porque motivo el online banking no me permite hacer transferencia,Cat_80,¿Podría alguien decirme por qué la banca en línea no me permite hacer una transferencia?,alguien me podria decir porque motivo el online banking no me permite hacer transferencia,podria alguien decirme por que la banca en linea no me permite hacer una transferencia
mi tarjeta de débito se venció en agosto y ya estamos en septiembre y no a llegado como ago?,Cat_316,Mi tarjeta de débito expiró en agosto y ya estamos en septiembre y no hemos llegado como antes.,mi tarjeta de debito se vencio en agosto y ya estamos en septiembre y no a llegado como ago,mi tarjeta de debito expiro en agosto y ya estamos en septiembre y no hemos llegado como antes
rastrear tarjeta,Cat_293,tarjeta de seguimiento,rastrear tarjeta,tarjeta de seguimiento
me cobraron dos veces la misma compra,Cat_112,Me cobraron dos veces por la misma compra,me cobraron dos veces la misma compra,me cobraron dos veces por la misma compra
tengo que resolver mi deuda,Cat_192,Tengo que saldar mi deuda,tengo que resolver mi deuda,tengo que saldar mi deuda
es obligatorio cobrar el sueldo en santander para acceder al prestamo uva?,Cat_238,¿Es obligatorio cobrar el salario en Santander para acceder al préstamo de uva?,es obligatorio cobrar el sueldo en santander para acceder al prestamo uva,es obligatorio cobrar el salario en santander para acceder al prestamo de uva
con quien tengo que hablar para que me desbloqueen la cuenta título,Cat_170,¿Con quién tengo que hablar para desbloquear la cuenta del título?,con quien tengo que hablar para que me desbloqueen la cuenta titulo,con quien tengo que hablar para desbloquear la cuenta del titulo
certificado de supervivencia pensionados,Cat_88,certificado de supervivencia de pensionistas,certificado de supervivencia pensionados,certificado de supervivencia de pensionistas
con mi tarjeta de credito puedo realizar compras en el exterior?,Cat_289,con mi tarjeta de crédito puedo hacer compras en el extranjero?,con mi tarjeta de credito puedo realizar compras en el exterior,con mi tarjeta de credito puedo hacer compras en el extranjero
se puede pedir un poco mas en el prestamo hipotecario?,Cat_209,¿Puedes pedir un poco más sobre el préstamo hipotecario?,se puede pedir un poco mas en el prestamo hipotecario,puedes pedir un poco mas sobre el prestamo hipotecario
cuanto me cobran por año la renovación de la tarjeta?,Cat_340,¿Cuánto me cobran por la renovación de la tarjeta por año?,cuanto me cobran por ano la renovacion de la tarjeta,cuanto me cobran por la renovacion de la tarjeta por ano
necesito saber el pin para operar por primera vez en cajero banelco,Cat_288,Necesito saber el pin para operar por primera vez en un cajero automático de Banelco,necesito saber el pin para operar por primera vez en cajero banelco,necesito saber el pin para operar por primera vez en un cajero automatico de banelco
tengo algún beneficio con este banco?,Cat_311,¿Tengo algún beneficio con este banco?,tengo algun beneficio con este banco,tengo algun beneficio con este banco
me podes decir a que valor cerro el dolar y euro,Cat_166,¿Me puede decir qué valor cerraron el dólar y el euro?,me podes decir a que valor cerro el dolar y euro,me puede decir que valor cerraron el dolar y el euro
yo quisiera saber si dan prestamos personales para unificar deudas,Cat_225,Me gustaría saber si otorgan préstamos personales para unificar deudas,yo quisiera saber si dan prestamos personales para unificar deudas,me gustaria saber si otorgan prestamos personales para unificar deudas
pagar atraso pago visa,Cat_349,pago atrasado pago de visa,pagar atraso pago visa,pago atrasado pago de visa
como hago para cambiarme a advantage?,Cat_299,¿Cómo puedo cambiar a ventaja?,como hago para cambiarme a advantage,como puedo cambiar a ventaja
obtener clave hacer paso dato incorrecto,Cat_1,obtener clave hacer paso de datos incorrecto,obtener clave hacer paso dato incorrecto,obtener clave hacer paso de datos incorrecto
no puedo comprar con la tarjeta gold por internet,Cat_290,No puedo comprar con la tarjeta dorada en línea,no puedo comprar con la tarjeta gold por internet,no puedo comprar con la tarjeta dorada en linea
hacer pago internet,Cat_132,hacer pago por internet,hacer pago internet,hacer pago por internet
quiero un ccredito hipotecario,Cat_223,Quiero una hipoteca,quiero un ccredito hipotecario,quiero una hipoteca
problema cajero,Cat_297,problema de cajero,problema cajero,problema de cajero
obtener tarjeta debito,Cat_39,obtener tarjeta de débito,obtener tarjeta debito,obtener tarjeta de debito
queria dar aviso que realizare el pago de mis compromisos,Cat_191,Quería avisar que haré el pago de mis compromisos.,queria dar aviso que realizare el pago de mis compromisos,queria avisar que hare el pago de mis compromisos
puedo enviar dinero,Cat_295,puedo enviar dinero,puedo enviar dinero,puedo enviar dinero
quiero solicitar cambio de radicación de mi cuenta,Cat_65,Quiero solicitar cambiar mi cuenta,quiero solicitar cambio de radicacion de mi cuenta,quiero solicitar cambiar mi cuenta
tarjeta pago atrasado,Cat_349,tarjeta de pago tardío,tarjeta pago atrasado,tarjeta de pago tardio
la parte que cobro en negro?,Cat_233,la parte que cobro en negro?,la parte que cobro en negro,la parte que cobro en negro
necesito telefono contactar comunicarme visa,Cat_147,Necesito contacto telefónico comunicar visa,necesito telefono contactar comunicarme visa,necesito contacto telefonico comunicar visa
cuanto es el monto para invertir en fondos comunes de inversión ejemplo renta variable,Cat_173,"cuánto es el monto para invertir en fondos mutuos, por ejemplo, ingreso variable",cuanto es el monto para invertir en fondos comunes de inversion ejemplo renta variable,cuanto es el monto para invertir en fondos mutuos por ejemplo ingreso variable
como puedo saber el saldo que me resta pagar del credito,Cat_239,¿Cómo puedo saber el saldo restante para pagar el crédito?,como puedo saber el saldo que me resta pagar del credito,como puedo saber el saldo restante para pagar el credito
